acronym,title,projectUrl,status,
ZF-HEALTH,Zebrafish Regulomics for Human Health,http://zf-health.org/,,
MEDINA,Marine Ecosystem Dynamics and Indicators for North Africa,http://www.medinaproject.eu/,,
EPIC-CVD,EPIC CVD Individualised CVD risk assessment tailoring targeted and cost effective approaches to Europe s diverse populations,http://www.epiccvd.eu/,,
ALACS,Promotion of Participation and Citizenship in Europe through the Advocacy and Legal Advice Centres ALACs of Transparency International,http://www.soziologie.uni-konstanz.de/alacs/project/,,
SMARTCATCH,The Development of a Novel Remote Stress Sensing System to Increase Safety Efficiency and Reduce Environmental Effects in Fishing and Mooring applications,http://smartcatch.pera.com/,,
RADIONET3,Advanced Radio Astronomy in Europe,http://www.radionet-eu.org/,,
EU-MASCARA,Markers for Sub Clinical Cardiovascular Risk Assessemnt,http://www.eu-mascara.eu/index.php,,
AIDA,Advanced European Infrastructures for Detectors at Accelerators,http://aida2020.web.cern.ch/,,
ATP,Access to Pharmaceuticals,http://www.accesstopharmaceuticals.org/,,
IMPROVE,Poverty Reduction in Europe Social policy and innovation,http://improve-research.eu/,,
BIOMARCARE,Biomarker for Cardiovascular Risk Assessment in Europe,http://www.biomarcare.eu/,,
SUSTAINCITY,Micro simulation for the prospective of sustainable cities in Europe,http://www.sustaincity.org/,,
ELDIA,European Language Diversity for All Reconceptualising promoting and re evaluating individual and societal multilingualism,http://www.eldia-project.org/,,
IRISS,Increasing Resilience in Surveillance Societies,http://irissproject.eu/,,
TIARA,Test Infrastructure and Accelerator Research Area,http://www.eu-tiara.eu/,,
DARK.RISK,Studies on a cohort of Serbian children exposed to x irradiation to determine the contribution of the non coding genome to susceptibility at low doses,http://www.helmholtz-muenchen.de/isb/forschung/plattformen/darkrisk/index.html,,
3D-FORENSICS,Mobile high resolution 3D Scanner and 3D data analysis for forensic evidence,http://www.3d-forensics.de/,,
ATHERO-B-CELL,Targeting and exploiting B cell functions for treatment in cardiovascular disease,http://www.atherobcell.eu/,,
PLAGASMIC,Advanced Microwave Plasma Gasification of pig and cow manure for cost effective biogas generation,https://www.ljmu.ac.uk/research/centres-and-institutes,,
PROECOWINE,Development of a process to generate a novel plant protection product enriched with micronutrients to replace copper in organic viticulture,http://www.proecowine.eu/,,
SYSTEMAGE,Early warning signals of ageing in human stem cells and age related disorders,http://systemage.eu/,,
BIOLISME II,BioliSME II Demonstration validation and preliminary promotion of a commercial prototype speedy system for sampling and detecting Listeria monocytogenes,http://www.biolisme.eu/bases/biolisme.nsf/webContents/Bienvenidos,,
MEPROCS,New methodologies and protocols of forensic identification by craniofacial superimposition,http://www.meprocs.eu/,,
CHANCE,Low cost technologies and traditional ingredients for the production of affordable nutritionally correct foods improving health in population groups at risk of poverty,http://www.chancefood.eu/,,
HARMLES,Dry lubricated Harmonic Drives for space applications,http://www.harmles.eu/,,
SPARTAN,SPAce exploration Research for Throatable Adavanced eNgine,http://www.spartanproject.eu/,,
VITRUV,Vulnerability Identification Tools for Resilience Enhancements of Urban Environments,http://www.vitruv-project.eu/consortium.html,,
SESAME,Securing the European Electricity Supply Against Malicious and accidental thrEats,https://www.sesame-project.eu/,,
CAPER,Collaborative information Acquisition Processing Exploitation and Reporting for the prevention of organised crime,http://www.fp7-caper.eu/,,
FOOD4ME,Personalised nutrition An integrated analysis of opportunities and challenges,http://www.food4me.org/,,
VIRTUOSO,Versatile InfoRmation Toolkit for end Users oriented Open Sources explOitation,http://www.virtuoso.eu/,,
CARTARDIS,Identification and validation of novel pharmaceutical drug targets for cardiovascular disease,http://cartardis.eu/,,
EMBRACE,Earth system Model Bias Reduction and assessing Abrupt Climate change,http://www.embrace-project.eu/,,
EUROFORGEN-NOE,EUROPEAN FORENSIC GENETICS Network of Excellence,http://www.euroforgen.eu/,,
TURAS,Transitioning towards Urban Resilience and Sustainability,http://www.turas-cities.org/,,
PREDICT,PREparing for the Domino effect in Crisis siTuations,http://www.predict-project.eu/,,
S(P)EEDKITS,Rapid deployable kits as seeds for self recovery,http://www.speedkits.eu/,,
SAWSOC,Situation AWare Security Operations Center,http://www.sawsoc.eu/,,
COLTHERES,Modelling and predicting sensitivity to targeted therapies in colorectal cancers,http://www.coltheres.org/,,
PROMERC,Protection Measures for Merchant Ships,http://www.promerc.eu/,,
FIBRO-TARGETS,Targeting cardiac fibrosis for heart failure treatment,http://www.fibrotargets.eu/,,
SYRTO,SYstemic Risk TOmography Signals Measurements Transmission Channels and Policy Interventions,http://syrtoproject.eu/,,
IRENA,Indium replacement by single walled carbon nanotube thin films,http://irena.aalto.fi/,,
ATHERO-FLUX,Targeting novel lipid pathways for treatment of cardiovascular disease,http://www.atheroflux.eu/,,
CULPRIT-SHOCK,Multivessel versus culprit lesion only percutaneous revascularization in patients with acute myocardial infarction complicated by cardiogenic shock,http://www.culprit-shock.eu/,,
GLASS,Global Lakes Sentinel Services,http://www.glass-project.eu/,,
ADVISE,Advanced Video Surveillance archives search Engine for security applications,http://www.advise-project.eu/,,
VUELCO,Volcanic unrest in Europe and Latin America Phenomenology eruption precursors hazard forecast and risk mitigation,http://www.vuelco.net/,,
EUROCONDOR,European Consortium for the Early Treatment of Diabetic Retinopathy,http://eurocondor.eu/,,
ECOMISE,Enabling Next Generation Composite Manufacturing by In Situ Structural Evaluation and Process Adjustment,http://www.ecomise.eu/,,
VIDEOSENSE,Virtual Centre of Excellence for Ethically guided and Privacy respecting Video Analytics,http://www.videosense.eu/,,
DRIVERS,DRIVERS Addressing the strategic Determinants to Reduce health Inequality Via 1 Early childhood development 2 Realising fair employment and 3 Social protection,http://health-gradient.eu/,,
INCOM,Industrial Production Processes for Nanoreinforced Composite Structures,http://www.incomproject.eu/,,
BAMI,The effect of intracoronary reinfusion of bone marrow derived mononuclear cells BM MNC on all cause mortality in acute myocardial infarction,http://www.bami-fp7.eu/,,
CRESTAR,Pharmacogenomic biomarkers as clinical decision making tools for clozapine treatment of schizophrenia,http://www.crestar-project.eu/,,
WAKE-UP,Efficacy and safety of MRI based thrombolysis in wake up stroke a randomised double blind placebo controlled trial,http://www.wakeup-stroke.eu/,,
SURPRISE,Surveillance Privacy and Security A large scale participatory assessment of criteria and factors determining acceptability and acceptance of security technologies in Europe,http://surprise-project.eu/,,
ABC4EU,ABC GATES FOR EUROPE,http://abc4eu.com/,,
HERCULES-C,HIGHER EFFICIENCY REDUCED EMISSIONS INCREASED RELIABILITY AND LIFETIME ENGINES FOR SHIPS,http://www.hercules-c.com/,,
SOPHY,Development of a SOftware tool for Prediction of ready to eat food product sHelf life quality and safetY,http://www.sophy-project.eu/,,
ICARUS,Integrated Components for Assisted Rescue and Unmanned Search operations,http://www.fp7-icarus.eu/,,
MISAFE,The Development and Validation of Microbial Soil Community Analyses for Forensics Purposes,https://sites.google.com/site/fp7misafe/,,
EURHEALTHAGEING,European ResearcH on DevElopmentAL BirtH and Genetic Determinants of Ageing,http://eurhealth.org/,,
LOBOS,LOw time critical BOrder Surveillance,http://lobos.bordersurveillance.security-copernicus.eu.185-4-133-10.reseller14.grserver.gr/,,
TIRAMISU,Toolbox Implementation for Removal of Anti personnel Mines Submunitions and UXO,http://www.fp7-tiramisu.eu/,,
ERA-NET NEURON II,Network of European funding for Neuroscience research,http://www.neuron-eranet.eu/,,
STAGES,Structural Transformation to Achieve Gender Equality in Science,http://www.stages.csmcd.ro/,,
PULCHER,Pulsed Chemical Rocket with Green High Performance Propellants,http://www.alta-space.com/pulcher/,,
SCINTILLA,Scintillation Detectors And New Technologies For Nuclear Security,http://www.scintilla-project.eu/,,
BIOMEDBRIDGES,Building data bridges between biological and medical infrastructures in Europe,http://www.biomedbridges.eu/,,
OPEC,OPerational ECology Ecosystem forecast products to enhance marine GMES applications,http://marine-opec.eu/,,
E-PREDICE,Early Prevention of Diabetes Complications in people with Hyperglycaemia in Europe,http://www.epredice.eu/,,
SYNSYS,Synaptic Systems dissecting brain function in health and disease,http://www.synsys.eu/,,
DISCANALYSIS,Analysis and Modelling of Multi wavelength Observational Data from Protoplanetary Discs,http://www.diana-project.com/,,
PRACTICE,Preparedness and Resilience against CBRN Terrorism using Integrated Concepts and Equipment PRACTICE,http://www.practice-fp7-security.eu/,,
SEEK,Semantic EnrichmEnt of trajectory Knowledge discovery,http://www.seek-project.eu/,,
INTRASME,Innovative Transport SME Support Action,http://www.intrasme.eu/,,
ENCCA,EUROPEAN NETWORK for CANCER research in CHILDREN and ADOLESCENTS,http://www.encca.org/,,
VR-HYPERSPACE,The innovative use of virtual and mixed reality to increase human comfort by changing the perception of self and space,http://www.vr-hyperspace.eu/,,
EURHYTHDIA,Chronotherapeutic lifestyle intervention for diabetes and obesity to reset the circadian rhythm and improve cardiometabolic risk in the European working population,http://www.eurhythdia.eu/,,
NEO-CIRC,Dobutamine for NEOnatal CIRCulatory failure defined by novel biomarkers,http://www.neocirculation.eu/,,
DOUBLENANOMEM,Nanocomposite and Nanostructured Polymeric Membranes for Gas and Vapour Separations,http://www.itm.cnr.it/data/DoubleNanoMem/,,
SAGRES,Services Activations for GRowing Eurosur s Success,http://www.copernicus-sagres.eu/,,
APO-DECIDE,Apoptosis Modelling for Treatment Decisions in Colorectal Cancer,http://www.apodecide.eu/,,
BACSIN,Bacterial Abiotic Cellular Stress and Survival Improvement Network,http://www.unil.ch/bacsin/home.html,,
NORDICBALTSAT,Utilizing the existing and emerging potential of Nordic Baltic dimension in critical satellite technologies and applications,http://www.nordicbaltsat.eu/,,
SYNFLOW,Innovative Synthesis in Continuous Flow Processes for Sustainable Chemical Production,http://www.synflow.eu/,,
CRISMA,Modelling crisis management for improved action and preparedness,http://www.crismaproject.eu/,,
INTEGRATE-HTA,Integrated health technology assessment for evaluating complex technologies,http://www.integrate-hta.eu/,,
AQUAVALENS,Protecting the health of Europeans by improving methods for the detection of pathogens in drinking water and water used in food preparation,http://aquavalens.org/,,
MACSYS,Development of an objective method to perform quality classification of comminuted poultry meat,http://macsysproject.eu/,,
SAVELEC,Safe control of non cooperative vehicles through electromagnetic means,http://savelec-project.eu/,,
DESIRE,Development and Epilepsy Strategies for Innovative Research to improve diagnosis prevention and treatment in children with difficult to treat Epilepsy,http://epilepsydesireproject.eu/,,
ATOME,Access to Opioid Medication in Europe,http://www.atome-project.eu/,,
EARLYNUTRITION,Long term effects of early nutrition on later health,http://www.project-earlynutrition.eu/eneu/,,
KIEKIDS,Development of an innovative paediatric formulation of an antiepileptic agent for the treatment of absence epilepsy in children,http://www.kiekids.eu/contact-kiekids.html,,
NMPTEAM2,Improving the services of the NMP NCP Network through Trans national Activities 2,http://www.nmpteam.com/,,
INNOSHADE,Innovative Switchable Shading Appliances based on Nanomaterials and Hybrid Electrochromic Device Configurations,http://www.innoshade.eu/,,
CIPRNET,Critical Infrastructure Preparedness and Resilience Research Network,https://www.ciprnet.eu/summary.html,,
CARDIOSCAPE,A survey of the European cardiovascular research landscape and recommendations for future research strategy,http://www.cardioscape.eu/,,
DEORBIT SAIL,De Orbiting of Satellites using Solar Sails,http://www.surrey.ac.uk/ssc/research/space_vehicle_control/deorbitsail/,,
ELITE,ELICIT TO LEARN CRUCIAL POST CRISIS LESSONS,http://www.elite-eu.org/,,
THOR,INNOVATIVE THERMAL MANAGEMENT CONCEPTS FOR THERMAL PROTECTION OF FUTURE SPACE VEHICLES,http://www.thor-space.eu/,,
BEAT,Biometrics Evaluation and Testing,https://www.beat-eu.org/,,
MYPLACE,Memory Youth Political Legacy And Civic Engagement,http://www.fp7-myplace.eu/,,
PHENOTYPE,Positive health effects of the natural outdoor environment in typical populations in different regions in Europe PHENOTYPE,http://www.phenotype.eu/en,,
CONNECT4ACTION,Strategies for improving communication between social and consumer scientists food technology developers and consumers,http://www.connect4action.eu/,,
LUNGCARD,Point of care blood device for fast and reliable prediction of drug response in non small cell lung carcinoma patients from blood samples,http://www.lungcard.eu/,,
HEMOLIA,Hybrid Enhanced Money Laundering Intelligence Investigation Incrimination and Alerts,http://www.hemolia.eu/,,
PLANHAB,Planetary Habitat Simulation,http://www.planhab.com/,,
I-C-EU,Impact of Transport Infrastructure on International Competitiveness of Europe,http://www.i-c-eu.eu/,,
SHOCK,Solar and Heliospheric Collisionless Kinetics Enabling Data Analysis of the Sun to Earth Plasma System with Kinetic Modelling,http://project-shock.eu/home/,,
WATERMIM,Water Treatment by Molecularly Imprinted Materials,http://lpre.cperi.certh.gr/watermim/,,
ATHENA,Advanced theories for functional oxides new routes to handle the devices of the future,http://www.athenacomp.eu/,,
JUMPAHEAD,Coordination Action in support of the implementation of a Joint Programming Initiative for Combating Neurodegenerative Diseases in particular Alzheimer s disease,http://www.neurodegenerationresearch.eu/about/jumpahead/,,
PI,The Piezo institute European expertise centre for multifunctional and Integrated Piezoelectric Devices,http://www.piezoinstitute.com/,,
NADINE,Nanosystems for the early Diagnosis of Neurodegenerative diseases,http://www.FP7nadine.eu/,,
GLOBAL-IQ,Impacts Quantification of global changes,http://www.global-iq.eu/,,
SAVASA,Standards Based Approach to Video Archive Search and Analysis,http://www.savasa.eu/,,
TDM-SEALS,Cost effective low friction SEALS by Texturing During Moulding technology,http://www.itainnova.es/,,
TEPSIE,The theoretical empirical and policy foundations for building social innovation in Europe,http://www.tepsie.eu/,,
PRESTIGE,PREvention of Late Stent Thrombosis by an Interdisciplinary Global European effort,http://www.prestige-fp7.eu/index.php?id=267,,
FIGHT-MG,Myasthenias a group of immune mediated neurological diseases from etiology to therapy,http://www.fight-mg.eu/,,
LEILA,Law Enforcement Intelligence Learning Application,http://www.leila-project.eu/,,
INTACT,On the Impact of Extreme Weather on Critical Infrastructures,http://www.intact-project.eu/,,
MODENA,Modelling of morphology Development of micro and Nano Structures,http://www.modenaproject.eu/,,
MADE4U,Business Models for User Centred Products,http://www.made4u.info/,,
LOTUS,Preparing Land and Ocean Take Up from Sentinel 3,http://www.fp7-lotus.eu/,,
INFECT,Improving Outcome of Necrotizing Fasciitis Elucidation of Complex Host and Pathogen Signatures that Dictate Severity of Tissue Infection,http://www.fp7infect.eu/,,
HARMONISE,Holistic Approach to Resilience and Systematic Actions to make Large Scale UrbaN Built Infrastructure Secure,http://harmonise.eu/,,
SHOCKOMICS,MULTISCALE APPROACH TO THE IDENTIFICATION OF MOLECULAR BIOMARKERS IN ACUTE HEART FAILURE INDUCED BY SHOCK,http://www.shockomics.org/home,,
DRREAM,Drastically reduced use of rare earths in applications of magnetocalorics,http://www.drream.eu/,,
CENTER-TBI,Collaborative European NeuroTrauma Effectiveness Research in TBI,https://www.center-tbi.eu/,,
ANTICORRP,Anticorruption Policies Revisited Global Trends and European Responses to the Challenge of Corruption,http://anticorrp.eu/,,
NILVAD,A European multicentre double blind placebo controlled phase III trial of nilvadIpine in mild to moderate Alzheimer s disease,http://www.nilvad.eu/,,
EEC,EURO EWING Consortium International Clinical Trials to Improve Survival from Ewing Sarcoma,http://www.euroewing.eu/,,
SAMURAI,Suspicious and Abnormal Behaviour Monitoring Using a Network of Cameras Sensors for Situation Awareness Enhancement,http://www.samurai-eu.org/,,
EUROPOLIS,EuroPolis A deliberative polity making project,http://www.europolis-project.eu/,,
FLEXICAST,Robust and FLEXible CAST iron manufacturing,http://flexicast-euproject.com/,,
SUPER-IRON,Exploring the potential of Iron based Superconductors,http://www.super-iron.eu/,,
INTERCONNECT,Global initiative on gene environment interaction on diabetes obesity risk,http://www.interconnect-diabetes.eu/,,
SOLAROGENIX,Visible Light Active Metal Oxide Nano catalysts for Sustainable Solar Hydrogen Production,http://www.solarogenix.eu/,,
NANOATHERO,Nanomedicine for target specific imaging and treatment of atherosclerosis development and initial clinical feasibility,http://www.nanoathero.eu/,,
IMPACT,Improved Lifetime of Automotive Application Fuel Cells with ultra low Pt loading,http://www.eu-project-impact.eu/,,
NWS4LIGHT,Nanowires for solid state lighting,http://www.ftf.lth.se/research/links_to_some_projects/nws4light/,,
LEAF,Low Emission AntiFouling coatings based on the novel discovered post settlement penetration triggered antifouling,http://leaf-antifouling.eu/,,
DEGRICOL,Consumer safe and thermally stable bioplastic formulation with controlled biodegradation properties for agricultural and horticultural accessories,http://www.degricol.org/,,
DRUM,Disguise Ritual Music,http://www.amasa-project.eu/,,
THERMACO,Smart Thermal conductive Al MMCs by casting,http://thermaco.eu/,,
BIO-PROTECT,Ionisation based detector of airborne bio agents viruses and toxins for fast alert and identification,http://fp7-bioprotect.eu/,,
HERMIONE-2MAN,First in Man Novel Anticancer Therapeutic based on Dependence Receptors Concept,http://www.hermione2man.eu/,,
DIABETES LITERACY,Enhancing the cost effectiveness of diabetes self management education A comparative assessment of different educational approaches and conditions for successful implementation,http://www.diabetesliteracy.eu/,,
AGENTA,Ageing Europe An application of National Transfer Accounts NTA for explaining and projecting trends in public finances,http://www.agenta-project.eu/en/index.htm,,
PROMISE,Protection of consumers by microbial risk mitigation through combating segregation of expertise,http://www.promise-net.eu/,,
SPARTACUS,Satellite Based Asset Tracking for Supporting Emergency Management in Crisis Operations,http://www.spartacus-project.eu/,,
PETROBOT,Use cases for inspection robots opening up the oil gas and petrochemical markets,http://petrobotproject.eu/,,
URBACHINA,Sustainable Urbanisation in China Historical and Comparative Perspectives Mega trends towards 2050,http://www.urbachina.eu/index.php/en/,,
STIMULATE,STIMULATING THE PUBLIC ATTITUDE TOWARDS ADVANCED MATERIALS,http://www.physics.ntua.gr/~micronano/stimulate/index.html,,
CEREBRAD,Cognitive and Cerebrovascular Effects Induced by Low Dose Ionising Radiation,http://www.cerebrad-fp7.eu/,,
ASCOS,Aviation Safety and Certification of new Operations and Systems,https://www.ascos-project.eu/,,
FUSIONS,Food Use for Social Innovation by Optimising waste prevention Strategies,http://www.eu-fusions.org/,,
EMTICS,European Multicentre Tics in Children Studies,http://www.emtics.eu/,,
ECOSSIAN,European Control System Security Incident Analysis Network,http://www.ecossian.eu/,,
ASSURE,Adapting Breast Cancer Screening Strategy Using Personalised Risk Estimation,http://www.assure-project.eu/,,
EE-ASI,Beta cell preservation via antigen specific immunotherapy in Type 1 Diabetes Enhanced Epidermal Antigen Delivery Systems,http://www.ee-asi.eu/,,
DESTRIERO,A DEcision Support Tool for Reconstruction and recovery and for the IntEroperability of international Relief units in case Of complex crises situations including CBRN contamination risks,http://www.destriero-fp7.eu/,,
I.FAMILY,Determinants of eating behaviour in European children adolescents and their parents,http://www.ifamilystudy.eu/,,
LIPSE,Learning from Innovation in Public Sector Environements,http://www.lipse.org/,,
AVECNET,African Vector Control New Tools,http://www.avecnet.eu/,,
ARROWS,ARchaeological RObot systems for the World s Seas,http://www.arrowsproject.eu/,,
WILDWINE,Multi strain indigenous Yeast and Bacterial starters for Wild ferment Wine production,http://www.wildwine.eu/fr/,,
INSPIRE,Development of Systemic Packages for Deep Energy Renovation of Residential and Tertiary Buildings including Envelope and Systems,http://www.inspirefp7.eu/,,
MULTIBIOPRO,The development and evaluation of Multipurpose crops as new biorefining feedstocks for the production of industrial BioProducts and biomass,http://www.multibiopro.eu/,,
BETS,Propellantless deorbiting of space debris by bare electrodynamic tethers,http://www.thebetsproject.com/home,,
ARCHES,ARCHES Astronomical Resource Cross matching for High Energy Studies,http://www.arches-fp7.eu/,,
NMI3-II,Neutron Scattering and Muon Spectroscopy Integrated Initiative,http://nmi3.eu/,,
NCRNAPAIN,Non coding RNAs in neurogenic and neuropathic pain mechanisms and their application for risk assessment patient stratification and personalised pain medicine,http://www.ncrna-pain.eu/,,
SECONOMICS,Socio Economics meets Security,http://seconomicsproject.eu/,,
METAHIT,Metagenomics of the Human Intestinal Tract,http://www.metahit.eu/,,
FAB2ASM,Efficient and Precise 3D Integration of Heterogeneous Microsystems from Fabrication to Assembly,http://www.fab2asm.eu/,,
SANDRA,SEAMLESS AERONAUTICAL NETWORKING THROUGH INTEGRATION OF DATA LINKS RADIOS AND ANTENNAS,http://sandra.aero/2013/,,
AUTOCAST,Automatic Cancer Screening Based on Real time PCR,http://www.genoid.net/index.php/autocast/introduction/,,
RATHER,Rational Therapy for Breast Cancer Individualized Treatment for Difficult to Treat Breast Cancer Subtypes,http://www.ratherproject.com/,,
META-PREDICT,Developing predictors of the health benefits of exercise for individuals,http://metapredict.eu/,,
CLYMBOL,Role of health related claims and symbols in consumer behaviour,http://www.clymbol.eu/,,
PYROCHAR,PYROlysis based process to convert small WWTP sewage sludge into useful bioCHAR,http://www.pyrochar.eu/,,
ICOS-INWIRE,ICOS improved sensors network and interoperability for GMES,http://www.icos-inwire.lsce.ipsl.fr/,,
ENS@T-CANCER,European Network for the Study of Adrenal Tumours Structuring clinical research on adrenal cancers in adults,http://www.ensat-cancer.eu/,,
EFEVE,Development of a new high performance material associated to a new technological Energetic Flexible Economical Versatile and Ecological process to make super strong and lightweight components,http://www.efeve.eu/,,
MEDIGENE,Genetic and environmental factors of insulin resistance syndrome and its long term complications in immigrant Mediterranean populations,http://www.medigene-fp7.eu/,,
RETROFIT,RETROFITting ships with new technologies for improved overall environmental footprint,http://www.retrofit-project.eu/,,
IMMOMEC,IMmune MOdulating strategies for treatment of MErkel cell Carcinoma,http://www.immomec.eu/,,
EUROSUNMED,EURO MEDITERRANEAN COOPERATION ON RESEARCH TRAINING IN SUN BASED RENEWABLE ENERGIES,http://www.eurosunmed.eu/,,
I²MINE,Innovative Technologies and Concepts for the Intelligent Deep Mine of the Future,http://www.i2mine.eu/,,
SECTOR,SECURE EUROPEAN COMMON INFORMATION SPACE FOR THE INTEROPERABILITY OF FIRST RESPONDERS AND POLICE AUTHORITIES,http://www.fp7-sector.eu/,,
REDIRNET,Emergency Responder Data Interoperability Network,http://www.redirnet.eu/,,
MAPPING_NCD,Mapping Chronic Non Communicable Diseases Research Activities and their Impact,http://www.ncd-map.eu/,,
ATECT,Advanced T cell Engineered for Cancer Therapy,http://atect-fp7.org/,,
PHS FORESIGHT,Personal Health Systems Foresight,http://www.phsforesight.eu/,,
VEG-I-TRADE,Impact of climate change and globalisation on safety of fresh produce governing a supply chain of uncompromised food sovereignty,http://www.veg-i-trade.org/,,
POC4PETS,Point of Care Diagnostics for rapid and cheap pathogen detection of companion animals,http://www.poc4pets-fp7.eu/,,
HYMEC,Hybrid organic inorganic memory elements for integration of electronic and photonic circuitry,http://hymec2.physik.hu-berlin.de/,,
FUTRE,FUture prospects on TRansport evolution and innovation challenges for the competitiveness of Europe,http://www.futre.eu/,,
M-ERA.NET,From materials science and engineering to innovation for Europe,https://www.m-era.net/,,
BETA-JUDO,Beta cell function in juvenile diabetes and obesity,http://www.betajudo.org/joomla/,,
GIFTS,Genomic and lifestyle predictors of foetal outcome relevant to diabetes and obesity and their relevance to prevention strategies in South Asian peoples,http://www.gifts-project.eu/,,
NEURINOX,NOX enzymes as mediators of inflammation triggered neurodegeneration modulating NOX enzymes as novel therapies,http://www.neurinox.eu/,,
KIDNEYCONNECT,A Gateway to European Kidney Research Resources KidneyConnect,http://www.kidneyconnect.eu/,,
REACHOUT,Reaching out and linking in Heath systems and close to community services,http://www.reachoutconsortium.org/,,
EUROHYP-1,European multicentre randomised phase III clinical trial of hypothermia plus best medical treatment versus best medical treatment alone for acute ischaemic stroke,http://www.eurohyp1.eu/,,
OPTIMISE,OPtimization of Treatment and Management of Schizophrenia in Europe OPTiMiSE,http://www.optimisetrial.eu/,,
POLYGRAPH,Up Scaled Production of Graphene Reinforced Thermosetting Polymers for Composite Coating and Adhesive Applications,http://www.polygraphproject.eu/home,,
SUSCLEAN,Sustainable Cleaning and Disinfection in Fresh Cut Food Industries,http://susclean.eu/,,
TERIFIQ,Combining Technologies to achieve significant binary Reductions in Sodium Fat and Sugar content in everyday foods whilst optimising their nutritional Quality,http://www.terifiq.eu/,,
DO-HEALTH,VitaminD3 Omega3 Home Exercise HeALTHy Ageing and Longevity Trial,http://do-health.eu/wordpress/,,
V-TIME,Virtual reality Treadmill combined Intervention for enhancing Mobility and reducing falls in the Elderly,http://www.v-time.eu/index.php/en/,,
DEVELOPAKURE,Clinical Development of Nitisinone for Alkaptonuria,http://www.developakure.eu/,,
HPV-AHEAD,Role of human papillomavirus infection and other co factors in the aetiology of head and neck cancer in India and Europe,http://hpv-ahead.iarc.fr/,,
EPIPGX,Epilepsy Pharmacogenomics delivering biomarkers for clinical use,http://www.epipgx.eu/,,
DALI,Vitamin D And LIfestyle Intervention for Gestational Diabetes Mellitus GDM Prevention,http://www.dali-project.eu/,,
HOMEHOIST,A novel integrated wheelchair and hoist system,http://www.homehoist.eu/,,
FIBEBIOTICS,Dietary Fibers supporting Gut and Immune Function From polysaccharide compound to health claim,http://www.fibebiotics.eu/,,
SECUREFISH,IMPROVING FOOD SECURITY BY REDUCING POST HARVEST LOSSES IN THE FISHERIES SECTOR,http://www.securefish.net/,,
AERSUS,Aerogel European Supplying Unit for Space Applications,http://web.spi.pt/aersus/,,
PATHONGEN-TRACE,Next Generation Genome Based High Resolution Tracing of Pathogens,http://www.patho-ngen-trace.eu/,,
FASTER,Forward Acquisition of Soil and Terrain for Exploration Rover,https://www.faster-fp7-space.eu/,,
ERANID,European Research Area Network on Illicit Drugs Towards integrated European research in illicit drugs cause and nature of drug problems interventions and policies,http://www.eranid.eu/home/,,
OYSTERECOVER,Establishing the scientific bases and technical procedures and standards to recover the European flat oyster production through strategies to tackle the main constraint bonamiosis,http://www.oysterecover.eu/,,
EUTRAF,The European Network for Translational Research in Atrial Fibrillation,http://www.eutraf.eu/,,
DESAFIO,DEMOCRATISATION OF WATER AND SANITATION GOVERNANCE BY MEANS OF SOCIO TECHNICAL INNOVATION,http://desafioglobal.org/,,
CASSANDRA,Common assessment and analysis of risk in global supply chains,http://www.cassandra-project.eu/,,
POLYCAT,Modern polymer based catalysts and microflow conditions as key elements of innovations in fine chemical syntheses,http://www.polycat-fp7.eu/,,
REFERTIL,Improvement of comprehensive bio waste transformation and nutrient recovery treatment processes for production of combined natural products,http://www.refertil.info/,,
FESSUD,Financialisation economy society and sustainable development,http://fessud.eu/,,
ARENA,Architecture for the Recognition of thrEats to mobile assets using Networks of multiple Affordable sensors,http://foi.se/en/Customer--Partners/Projects/ARENA/,,
NEWAPP,New technological applications for wet biomass waste stream products,http://www.newapp-project.eu/en/,,
CHROMED,Clinical tRials fOr elderly patients with MultiplE Disease,http://www.chromed.eu/,,
NANOMASTER,Graphene based thermoplastic masterbatches for conventional and additive manufacturing processes,http://www.nanomasterproject.eu/,,
ECOSYN,Ecofriendly synergists for insecticide formulations,http://www.ecosyn.eu/,,
ULTRACHOC,Ultrasound based tailoring and control by real time monitoring of the tempering process during chocolate manufacture,http://www.ultrachoc.eu/,,
EUROTARGET,European collaborative project on Targeted therapy in renal cell cancer genetic and tumor related biomarkers for response and toxicity,http://www.eurotargetproject.eu/main.asp?VID=1&kat1=10&kat2=157&kat3=,,
ARTFORCE,Adaptive and innovative Radiation Treatment FOR improving Cancer patients treatment outcomE,http://www.cancerartforce.eu/,,
EU-UNAWE,Building on the International Year of Astronomy Making young children aware of the Universe,http://eunawe.eu/,,
MEFEPO,Making the European Fisheries Ecosystem Operational,https://www.liverpool.ac.uk/mefepo/,,
PREDICT,Predicting individual response and resistance to VEGFR mTOR pathway therapeutic intervention using biomarkers discovered through tumour functional genomics,http://www.predictconsortium.eu/,,
DOMAC,Impact of International Criminal Procedures on Domestic Criminal Procedures in Mass Atrocity Cases,http://www.domac.is/,,
NANOTRANSKINETICS,Modelling basis and kinetics of nanoparticle interaction with membranes uptake into cells and sub cellular and inter compartmental transport,http://www.nanotranskinetics.eu/,,
CRM_INNONET,Critical Raw Materials Innovation Network Towards an integrated community driving innovation in the field of critical raw material substitution for the benefit of EU industry,http://www.criticalrawmaterials.eu/,,
TIME,Transverse Intrafascicular Multichannel Electrode system for induction of sensation and treatment of phantom limb pain in amputees,http://www.project-time.eu/,,
