acronym,title,projectUrl
VERTIGEEN,INEXPENSIVE AND RELIABLE ON-SITE SOLUTION FOR OLIVE PRODUCERS TO CONTAIN VERTICILLIUM WILT,http://www.vertigeen.eu/
PRIORITY,Proteomic prediction and Renin angiotensin aldosterone system Inhibition prevention Of early diabetic nephRopathy In TYpe 2 diabetic patients with normoalbuminuria,http://eu-priority.org/
ANGIOPREDICT,Predictive Genomic Biomarkers Methods for Combination Bevacizumab (Avastin) Therapy in Metastatic Colorectal Cancer,http://www.angiopredict.com/
TEFLES,TEchnologies and scenarios For Low Emissions Shipping,http://www.tefles.eu
MARINET,Marine Renewables Infrastructure Network for Emerging Energy Technologies,http://www.fp7-marinet.eu
ZF-HEALTH,Zebrafish Regulomics for Human Health,http://zf-health.org/
MEDINA,Marine  Ecosystem  Dynamics and Indicators for North Africa,http://www.medinaproject.eu
EPIC-CVD,EPIC-CVD: Individualised CVD risk assessment: tailoring targeted and cost-effective approaches to Europe's diverse populations,http://www.epiccvd.eu/
ALACS,Promotion of Participation and Citizenship in Europe through the “Advocacy and Legal Advice Centres (ALACs)” of Transparency International,http://www.soziologie.uni-konstanz.de/alacs/project/
SMARTCATCH,"The Development of a Novel Remote Stress Sensing System to Increase Safety, Efficiency and Reduce Environmental Effects in Fishing and Mooring applications",http://smartcatch.pera.com/
RADIONET3,Advanced Radio Astronomy in Europe,http://www.radionet-eu.org/
EU-MASCARA,Markers for Sub-Clinical Cardiovascular Risk Assessemnt,http://www.eu-mascara.eu/index.php
AIDA,Advanced European Infrastructures for Detectors at Accelerators,http://cern.ch/aida
ATP,Access to Pharmaceuticals,http://www.accesstopharmaceuticals.org/
DES-MOLD,Feature-Based Design and Modelling for Injection-molding Optimization,http://www.desmold.eu/
SMARTLAM,Smart production of Microsystems based on laminated polymer films,http://www.smartlam.eu/
IMPROVE,Poverty Reduction in Europe: Social policy and innovation,http://improve-research.eu/
INNOSERV,Innovative Social Services platform,http://www.inno-serv.eu/
BIOMARCARE,Biomarker for Cardiovascular Risk Assessment in Europe,http://www.biomarcare.eu/
SUSTAINCITY,Micro-simulation for the prospective of sustainable cities in Europe,http://www.sustaincity.org/
ELDIA,"""European Language Diversity for All: Reconceptualising, promoting and re-evaluating individual and societal multilingualism""",http://www.eldia-project.org/
IRISS,Increasing Resilience in Surveillance Societies,http://irissproject.eu/
TIARA,Test Infrastructure and Accelerator Research Area,http://www.eu-tiara.eu/
susceptibility at low doses",http://www.helmholtz-muenchen.de/isb/darkrisk
3D-FORENSICS,Mobile high-resolution 3D-Scanner and 3D data analysis for forensic evidence,http://www.3d-forensics.de/
ATHERO-B-CELL,Targeting and exploiting B cell functions for treatment in cardiovascular disease,http://www.atherobcell.eu/
PLAGASMIC,Advanced Microwave Plasma Gasification of pig and cow manure for cost-effective biogas generation,http://www.ljmu.ac.uk/BLT/BEST/RFM/PlaGasMic/index.htm
PROECOWINE,Development of a process to generate a novel plant protection product enriched with micronutrients to replace copper in organic viticulture,http://www.proecowine.eu/
SYSTEMAGE,Early warning signals of ageing in human stem cells and age-related disorders,http://systemage.eu
BIOLISME II,"""BioliSME II – Demonstration, validation and preliminary promotion of a commercial prototype speedy system for sampling and detecting Listeria monocytogenes""",http://www.biolisme.eu/bases/biolisme.nsf/webContents/Bienvenidos
MEPROCS,New methodologies and protocols  of forensic identification  by craniofacial superimposition,http://www.meprocs.eu/
CHANCE,"""Low cost technologies and traditional ingredients for the production of affordable, nutritionally correct foods improving health in population groups at risk of poverty""",http://www.chancefood.eu
HARMLES,Dry lubricated Harmonic Drives for space applications,http://www.harmles.eu
SPARTAN,SPAce exploration Research for Throatable Adavanced eNgine,http://www.spartanproject.eu/
VITRUV,Vulnerability Identification Tools for Resilience Enhancements of Urban Environments,http://www.vitruv-project.eu/consortium.html
CAPER,"""Collaborative information, Acquisition, Processing, Exploitation and Reporting for the prevention of organised crime""",http://www.fp7-caper.eu/
FOOD4ME,Personalised nutrition: An integrated analysis of opportunities and challenges,http://www.food4me.org
PANOPTES,Peptide-based Nanoparticles as Ocular Drug Delivery Vehicles,http://www.panoptesfp7.eu/
VIRTUOSO,Versatile InfoRmation Toolkit for end-Users oriented Open Sources explOitation,http://www.virtuoso.eu/
CARTARDIS,Identification and validation of novel pharmaceutical drug targets for cardiovascular disease,http://cartardis.eu/
EMBRACE,Earth system Model Bias Reduction and assessing Abrupt Climate change,http://www.embrace-project.eu
COMMHERE,Communication of European Health Research,http://www.commhere.eu
EUROFORGEN-NOE,EUROPEAN FORENSIC GENETICS Network of Excellence,http://www.euroforgen.eu/
TURAS,Transitioning towards Urban Resilience and Sustainability,http://www.turas-cities.org/
PREDICT,PREparing for the Domino effect in Crisis siTuations,http://www.predict-project.eu/
PLANTPACK,Sustainable Coating for Food Packaging based on Starch and Seaweed Extracts,http://www.plantpack.eu
S(P)EEDKITS,Rapid deployable kits as seeds for self-recovery,http://www.speedkits.eu/
SAWSOC,Situation AWare Security Operations Center,http://www.sawsoc.eu/
COLTHERES,Modelling and predicting sensitivity to targeted therapies in colorectal cancers,http://www.coltheres.eu/
PROMERC,Protection Measures for Merchant Ships,http://www.promerc.eu/
FLEXPAKRENEW,Design and development of an innovative ecoefficient low-substrate flexible paper packaging from renewable resources to replace petroleum based barrier films,http://www.flexpakrenew.eu
FIBRO-TARGETS,Targeting cardiac fibrosis for heart failure treatment,http://www.fibrotargets.eu
SYRTO,"""SYstemic Risk TOmography: Signals, Measurements, Transmission Channels, and Policy Interventions""",http://www.syrtoproject.eu
IRENA,Indium replacement by single-walled carbon nanotube thin films,http://irena.aalto.fi/
ATHERO-FLUX,Targeting novel lipid pathways for treatment of cardiovascular disease,http://www.atheroflux.eu
CULPRIT-SHOCK,Multivessel versus culprit lesion only percutaneous revascularization in patients with acute myocardial infarction complicated by cardiogenic shock,http://www.culprit-shock.eu
GLASS,Global Lakes Sentinel Services,http://www.glass-project.eu/
ADVISE,Advanced Video Surveillance archives search Engine for security applications,http://www.advise-project.eu/
VUELCO,"""Volcanic unrest in Europe and Latin America: Phenomenology, eruption precursors, hazard forecast, and risk mitigation""",http://www.vuelco.net
EUROCONDOR,European Consortium for the Early Treatment of Diabetic Retinopathy,http://eurocondor.eu/
NOVACAM,NOVel cheap and Abundant Materials for catalytic biomass conversion,http://novacam.eu/
ECOMISE,Enabling Next Generation Composite Manufacturing by In-Situ Structural Evaluation and Process Adjustment,http://www.ecomise.eu/
VIDEOSENSE,Virtual Centre of Excellence for Ethically-guided and Privacy-respecting Video Analytics,http://www.videosense.eu/
DRIVERS,Addressing the strategic Determinants to Reduce health Inequality Via 1) Early childhood development, 2) Realising fair employment, and 3) Social protection,http://www.health-gradient.eu
INCOM,Industrial Production Processes for Nanoreinforced Composite Structures,http://www.incomproject.eu
BAMI,The effect of intracoronary reinfusion of bone marrow-derived mononuclear cells (BM-MNC) on all-cause mortality  in acute myocardial infarction,http://www.bami-fp7.eu/
CRESTAR,Pharmacogenomic biomarkers as clinical decision making tools for clozapine treatment of schizophrenia,http://www.crestar-project.eu/
WAKE-UP,"""Efficacy and safety of MRI-based thrombolysis in wake-up stroke: a randomised, double-blind, placebo-controlled trial""",http://www.wakeup-stroke.eu/
SURPRISE,"""Surveillance, Privacy and Security: A large scale participatory assessment of criteria and factors determining acceptability and acceptance of security technologies in Europe""",http://surprise-project.eu/
ABC4EU,ABC GATES FOR EUROPE,http://abc4eu.com/
HERCULES-C,"""HIGHER EFFICIENCY, REDUCED EMISSIONS, INCREASED RELIABILITY AND LIFETIME, ENGINES FOR SHIPS""",http://www.hercules-c.com
HYPOMAP,New materials for hydrogen powered mobile applications,http://www.jacobs-university.de/ses/theine/projects/HYPOMAP
of ready-to-eat food product sHelf life, quality and safetY""",http://www.sophy-project.eu/
ICARUS,Integrated Components for Assisted Rescue and Unmanned Search operations,http://www.fp7-icarus.eu/
EURHEALTHAGEING,"""European ResearcH on DevElopmentAL, BirtH and Genetic Determinants of Ageing""",http://eurhealth.org/
LOBOS,LOw time critical BOrder Surveillance,http://lobos.bordersurveillance.security-copernicus.eu.185-4-133-10.reseller14.grserver.gr/
TIRAMISU,"""Toolbox Implementation for Removal of Anti-personnel Mines, Submunitions and UXO""",http://www.fp7-tiramisu.eu/‎
ERA-NET NEURON II,Network of European funding for Neuroscience research,http://www.neuron-eranet.eu
STAGES,Structural Transformation to Achieve Gender Equality in Science,http://www.stages.csmcd.ro
PULCHER,Pulsed Chemical Rocket with Green High Performance Propellants,http://www.alta-space.com/pulcher/
SCINTILLA,Scintillation Detectors And New Technologies For Nuclear Security,http://www.scintilla-project.eu/
BIOMEDBRIDGES,Building data bridges between biological and medical infrastructures in Europe,http://www.biomedbridges.eu
OPEC,OPerational ECology: Ecosystem forecast products to enhance marine GMES applications,http://marine-opec.eu/
E-PREDICE,Early Prevention of Diabetes Complications in people with Hyperglycaemia in Europe,http://www.epredice.eu
SYNSYS,Synaptic Systems: dissecting brain function in health and disease,http://www.synsys.eu/
DISCANALYSIS,Analysis and Modelling of Multi-wavelength Observational Data from Protoplanetary Discs,http://www.diana-project.com/
ALAMSA,A Life-cycle Autonomous Modular System for Aircraft Material State Evaluation and Restoring System,http://www.bath.ac.uk/rdso/alamsa/
PRACTICE,Preparedness and Resilience against CBRN Terrorism using Integrated Concepts and Equipment PRACTICE,http://www.practice-fp7-security.eu/
SEEK,Semantic EnrichmEnt of trajectory Knowledge discovery,http://www.seek-project.eu
INTRASME,Innovative Transport SME Support Action,http://www.intrasme.eu/
ENCCA,EUROPEAN NETWORK for CANCER research in CHILDREN and ADOLESCENTS,http://www.encca.org/
VR-HYPERSPACE,The innovative use of virtual and mixed reality to increase human comfort by changing the perception of self and space,http://www.vr-hyperspace.eu/
EURHYTHDIA,Chronotherapeutic lifestyle intervention for diabetes and obesity to reset the circadian rhythm and improve cardiometabolic risk in the European working population,http://www.eurhythdia.eu/
NEO-CIRC,Dobutamine for NEOnatal CIRCulatory failure defined by novel biomarkers,http://www.neocirculation.eu/
DOUBLENANOMEM,Nanocomposite and Nanostructured Polymeric Membranes for Gas and Vapour Separations,http://www.itm.cnr.it/data/DoubleNanoMem/
SAGRES,Services Activations for GRowing Eurosur's Success,http://www.copernicus-sagres.eu
APO-DECIDE,Apoptosis Modelling for Treatment Decisions in Colorectal Cancer,http://www.apodecide.eu/
BACSIN,Bacterial Abiotic Cellular Stress and Survival Improvement Network,http://www.unil.ch/bacsin/
NORDICBALTSAT,Utilizing the existing and emerging potential of Nordic-Baltic dimension in critical satellite technologies and applications,http://www.nordicbaltsat.eu/
CISSTEM,Cis-regulatory logic of the transcriptional control in neural stem cells,http://www.cisstem.eu/
SYNFLOW,Innovative Synthesis in Continuous-Flow Processes for Sustainable Chemical Production,http://www.synflow.eu
CRISMA,Modelling crisis management for improved action and preparedness,http://www.crismaproject.eu/
INTEGRATE-HTA,Integrated health technology assessment for evaluating complex technologies,http://www.integrate-hta.eu
AQUAVALENS,Protecting the health of Europeans by improving methods for the detection of pathogens in drinking water and water used in food preparation,http://aquavalens.org/
MACSYS,Development of an objective method to perform quality classification of comminuted poultry meat,http://macsysproject.eu
SAVELEC,Safe control of non cooperative vehicles through electromagnetic means,http://savelec-project.eu/
DESIRE,"""Development and Epilepsy - Strategies for Innovative Research to improve diagnosis, prevention and treatment  in children with difficult to treat Epilepsy""",http://epilepsydesireproject.eu/
ATOME,Access to Opioid Medication in Europe,http://www.atome-project.eu/
MAXIMUS,INNOVATIVE REARING AND STUNNING OF FARMED TURBOT AND SOLE TO MEET FUTURE CHALLENGES REGARDING QUALITY OF PRODUCTION AND ANIMAL WELFARE,http://dev02.imbera.no/aquaplanmaximus/no/
EARLYNUTRITION,Long-term effects of early nutrition on later health,http://www.project-earlynutrition.eu/
KIEKIDS,Development of an innovative paediatric formulation of an antiepileptic agent for the treatment of absence epilepsy in children,http://www.kiekids.eu/contact-kiekids.html
NMPTEAM2,Improving the services of the NMP NCP Network through Trans-national Activities 2,http://www.nmpteam.com
INNOSHADE,Innovative Switchable Shading Appliances based on Nanomaterials and Hybrid Electrochromic Device Configurations,http://www.innoshade.eu
CIPRNET,Critical Infrastructure Preparedness and Resilience Research Network,http://www.ciprnet.eu/summary.html
CARDIOSCAPE,A survey of the European cardiovascular research landscape and recommendations for  future research strategy,http://www.cardioscape.eu/
DEORBIT SAIL,De-Orbiting of Satellites using Solar Sails,http://www.deorbitsail.com/
ELITE,ELICIT TO LEARN CRUCIAL POST-CRISIS LESSONS,http://www.elite-eu.org/
THOR,INNOVATIVE THERMAL MANAGEMENT CONCEPTS FOR THERMAL PROTECTION OF FUTURE SPACE VEHICLES,http://www.thor-space.eu
BEAT,Biometrics Evaluation and Testing,http://www.beat-eu.org/
Demonstrating the Project Results",http://www.lowtevii.sitew.fr/#Project.K
MYPLACE,"""Memory, Youth, Political Legacy And Civic Engagement""",http://www.fp7-myplace.eu/
PHENOTYPE,Positive health effects of the natural outdoor environment in typical populations in different regions in Europe (PHENOTYPE),http://www.phenotype.eu/en
scientists, food technology developers and consumers""",http://www.connect4action.eu/
LUNGCARD,Point-of-care blood device for fast and reliable prediction of drug response in non- small-cell lung carcinoma patients from blood samples,http://www.lungcard.eu/
HEMOLIA,"""Hybrid Enhanced Money Laundering Intelligence, Investigation, Incrimination and Alerts""",http://www.hemolia.eu/
PLANHAB,Planetary Habitat Simulation,http://www.planhab.com/
I-C-EU,Impact of Transport Infrastructure on International Competitiveness of Europe,http://www.i-c-eu.eu/
FLASH-IT,FaciLitating Access to Socio-economic ResearcH through Information and Communications Technology,http://www.flash-it.eu
System with Kinetic Modelling",http://project-shock.eu/home/
WATERMIM,Water Treatment by Molecularly Imprinted Materials,http://lpre.cperi.certh.gr/watermim/
ATHENA,Advanced theories for functional oxides: new routes to handle the devices of the future,http://www.athenacomp.eu/
HELP,Enhanced Communications in Emergencies by Creating and Exploiting Synergies in Composite Radio Systems,http://www.fp7-sec-help.eu
JUMPAHEAD,"""Coordination Action in support of the implementation of a Joint Programming Initiative for Combating Neurodegenerative Diseases, in particular Alzheimer’s disease""",http://www.neurodegenerationresearch.eu/about/jumpahead/
PI,The Piezo institute-  European expertise  centre for multifunctional and Integrated Piezoelectric Devices,http://www.piezoinstitute.com
NADINE,Nanosystems for the early Diagnosis of Neurodegenerative diseases,http://www.FP7nadine.eu
GLOBAL-IQ,Impacts Quantification of global changes,http://www.global-iq.eu/
SAVASA,Standards Based Approach to Video Archive Search and Analysis,http://www.savasa.eu/
TDM-SEALS,Cost-effective low-friction SEALS by Texturing During Moulding technology,http://www.ita.es/ita/
TEPSIE,"""The theoretical, empirical and policy foundations for building social innovation in Europe""",http://www.tepsie.eu/
SAFE-BAG,Novel continuous in-pack decontamination system for fresh produce,http://www.safebag-fp7.eu/
PRESTIGE,PREvention of Late Stent Thrombosis by an Interdisciplinary Global European effort,http://www.prestige-fp7.eu/index.php?id=267
FIGHT-MG,"""Myasthenias, a group of immune mediated neurological diseases: from etiology to therapy.""",http://www.fight-mg.eu/
SICA-HF,Studies Investigating Co-morbidities Aggravating Heart Failure,http://www.sica-hf.com/index.php
LEILA,Law Enforcement Intelligence Learning Application,http://www.leila-project.eu/
on Critical Infrastructures",http://www.intact-project.eu/
MODENA,Modelling of morphology Development of micro- and Nano Structures,http://www.modenaproject.eu/
MADE4U,Business Models for User Centred Products,http://www.made4u.info/
EUNEFRON,European Network for the Study of Orphan Nephropathies,http://www.eunefron.org/
LOTUS,Preparing Land and Ocean Take Up from Sentinel-3,http://www.fp7-lotus.eu/
INFECT,Improving Outcome of Necrotizing Fasciitis: Elucidation of Complex Host and Pathogen Signatures that Dictate Severity of Tissue Infection,http://www.fp7infect.eu
HARMONISE,Holistic Approach to Resilience and Systematic Actions to make Large Scale UrbaN Built Infrastructure Secure,http://harmonise.eu/
SHOCKOMICS,MULTISCALE APPROACH TO THE IDENTIFICATION OF MOLECULAR BIOMARKERS IN ACUTE HEART FAILURE INDUCED BY SHOCK,http://www.shockomics.org
DRREAM,Drastically reduced use of rare earths in applications of magnetocalorics,http://www.drream.eu/
CENTER-TBI,Collaborative European NeuroTrauma Effectiveness Research in TBI,http://www.center-tbi.eu
ANTICORRP,Anticorruption Policies Revisited. Global Trends and European Responses to the Challenge of Corruption,http://www.anticorrp.eu/
NILVAD,A European multicentre double-blind placebo-controlled phase III trial of nilvadIpine in mild to moderate Alzheimer’s disease,http://www.nilvad.eu/
EEC,EURO EWING Consortium – International Clinical Trials to Improve Survival from Ewing Sarcoma,http://www.euroewing.eu
DOPPLER-CIP,Determining Optimal non-invasive Parameters for the Prediction of Left vEntricular morphologic and functional Remodeling in Chronic Ischemic Patients,http://www.doppler-cip.eu
SAMURAI,Suspicious and Abnormal Behaviour Monitoring  Using a Network of Cameras & Sensors for Situation Awareness Enhancement,http://www.samurai-eu.org
EUROPOLIS,EuroPolis: A deliberative polity-making project,http://www.europolis-project.eu/
FLEXICAST,"""Robust, and FLEXible CAST iron manufacturing""",http://www.flexicast-euproject.com
SUPER-IRON,Exploring the potential of Iron-based Superconductors,http://super-iron.eu/
INTERCONNECT,Global initiative on gene-environment interaction on diabetes/obesity risk,http://www.interconnect-diabetes.eu/
SOLAROGENIX,Visible-Light Active Metal Oxide Nano-catalysts for Sustainable Solar Hydrogen Production,http://www.solarogenix.eu/
NANOATHERO,Nanomedicine for target-specific imaging and treatment of atherosclerosis: development and initial clinical feasibility,http://www.nanoathero.eu/
IMPACT,Improved Lifetime of Automotive Application Fuel Cells with ultra low Pt-loading,http://www.eu-project-impact.eu
NWS4LIGHT,Nanowires for solid state lighting,http://www.ftf.lth.se/research/links_to_some_projects/nws4light/
LEAF,Low Emission AntiFouling coatings based on the novel discovered post settlement penetration triggered antifouling,http://www.leaf-antifouling.eu
DEGRICOL,Consumer-safe and thermally-stable bioplastic formulation with controlled biodegradation properties for agricultural and horticultural accessories,http://www.degricol.org
DRUM,Disguise Ritual Music,http://www.amasa-project.eu/
THERMACO,Smart Thermal conductive Al MMCs by casting,http://www.thermaco.eu
BIO-PROTECT,"""Ionisation-based detector of airborne bio-agents, viruses and toxins for fast-alert and identification""",http://fp7-bioprotect.eu/
HERMIONE-2MAN,First in Man Novel Anticancer Therapeutic based on Dependence Receptors Concept,http://www.hermione2man.eu/
DIABETES LITERACY,Enhancing the (cost-)effectiveness of diabetes self-management education:  A comparative assessment of different educational approaches and conditions for successful implementation,http://www.diabetesliteracy.eu/
AGENTA,Ageing Europe: An application of National Transfer Accounts (NTA) for explaining and projecting trends in public finances,http://www.agenta-project.eu/
PROMISE,Protection of consumers by microbial risk mitigation through combating segregation of expertise,http://www.promise-net.eu
SPARTACUS,Satellite Based Asset Tracking for Supporting Emergency Management in Crisis Operations,http://www.spartacus-project.eu/
PETROBOT,"Use cases for inspection robots opening up the oil-, gas- and petrochemical markets",http://www.petrobotproject.eu/
Historical and Comparative Perspectives, Mega-trends towards 2050""",http://www.urbachina.eu
STIMULATE,STIMULATING THE PUBLIC ATTITUDE TOWARDS ADVANCED MATERIALS,http://www.physics.ntua.gr/~micronano/stimulate/index.html
CEREBRAD,Cognitive and Cerebrovascular Effects Induced by Low Dose Ionising Radiation,http://www.cerebrad-fp7.eu/
BIOAGROTEX,Development of new agrotextiles from renewable resources and with a tailored biodegradability,http://www.bioagrotex.eu
ASCOS,Aviation Safety and Certification of new Operations and Systems,http://www.ascos-project.eu
FUSIONS,Food Use for Social Innovation by Optimising waste prevention Strategies,http://www.eu-fusions.org
EMTICS,European Multicentre Tics in Children Studies,http://www.emtics.eu/
ECOSSIAN,European Control System Security Incident Analysis Network,http://www.ecossian.eu/
Estimation",http://www.assure-project.eu
EASY-IMP,Collaborative Development of Intelligent Wearable Meta-Products in the Cloud,http://www.easy-imp.eu
EE-ASI,Beta cell preservation via antigen-specific immunotherapy in Type 1 Diabetes: Enhanced Epidermal Antigen Delivery Systems,http://www.ee-asi.eu
AUTOGRASSMILK,Innovative and sustainable systems combining automatic milking and precision grazing,http://www.autograssmilk.eu/Start.htm
DESTRIERO,"""A DEcision Support Tool for Reconstruction and recovery and for the IntEroperability of international Relief units in case Of complex crises situations, including CBRN contamination risks""",http://www.destriero-fp7.eu/
I.FAMILY,"""Determinants of eating behaviour in European children, adolescents and their parents""",http://www.ifamilystudy.eu/
LIPSE,Learning from Innovation in Public Sector Environements,http://www.lipse.org/
AVECNET,African Vector Control:  New Tools,http://www.avecnet.eu/
INNOVAGE,Social Innovations Promoting Active and Healthy Ageing,http://www.eurocarers.org
ARROWS,ARchaeological RObot systems for the World's Seas,http://www.arrowsproject.eu
WILDWINE,Multi-strain indigenous Yeast and Bacterial starters for ‘Wild-ferment’ Wine production,http://www.wildwine.eu/fr/
INSPIRE,Development of Systemic Packages for Deep Energy Renovation of Residential and Tertiary Buildings including Envelope and Systems,http://inspirefp7.eu/
MULTIBIOPRO,The development and evaluation of Multipurpose crops as new biorefining feedstocks for the production of industrial BioProducts and biomass,http://www.multibiopro.eu
BETS,Propellantless deorbiting of space debris  by bare electrodynamic tethers,http://www.thebetsproject.com/home
ARCHES,ARCHES : Astronomical Resource Cross-matching for High Energy Studies,http://www.arches-fp7.eu/
NMI3-II,Neutron Scattering and Muon Spectroscopy Integrated Initiative,http://nmi3.eu/
NCRNAPAIN,"""Non-coding RNAs in neurogenic and neuropathic pain mechanisms and their application for risk assessment, patient stratification and personalised pain medicine""",http://www.ncrna-pain.eu/
SECONOMICS,Socio-Economics meets Security,http://seconomicsproject.eu/
DIRECTFUEL,Direct biological conversion of solar energy to volatile hydrocarbon fuels by engineered cyanobacteria,http://www.directfuel.fi/
METAHIT,Metagenomics of the Human Intestinal Tract,http://www.metahit.eu/
REFINEMENT,Financing systems’ effects on the Quality of Mental health care in Europe,http://rpc.spsichiatria.univr.it/refinementproject/
SMARTMILK,A novel system for the treatment of milk based on the combination of ultrasounds and pulsed electric field technologies,http://www.smartmilk.eu/
FAB2ASM,Efficient and Precise 3D Integration of Heterogeneous Microsystems from Fabrication to Assembly,http://www.fab2asm.eu
SANDRA,"""SEAMLESS AERONAUTICAL NETWORKING THROUGH INTEGRATION OF DATA LINKS, RADIOS, AND ANTENNAS""",http://sandra.aero/2013/
SAFECAST,PERFOMANCE OF INNOVATIVE MECHANICAL CONNECTIONS IN PRECAST BUILDINGS STRUCTURES UNDER SEISMIC CONDITIONS,http://www.safecastproject.eu
AUTOCAST,Automatic Cancer Screening Based on Real-time PCR,http://www.genoid.net/index.php/autocast/introduction/
CREST,"""Enrichment of macular pigment, and its impact on vision and blindness""",http://www.mprg.ie
RATHER,Rational Therapy for Breast Cancer: Individualized Treatment for Difficult-to-Treat Breast Cancer Subtypes,http://www.ratherproject.com
META-PREDICT,Developing predictors of the health benefits of exercise for individuals,http://metapredict.eu/
CLYMBOL,Role of health-related claims and symbols in consumer behaviour,http://www.clymbol.eu/
TWOBIAS,Two Stage Rapid Biological Surveillance and Alarm System for Airborne Pathogenic Threats,http://twobias.com/index.php?option=com_content&view=article&id=1&Itemid=2
PYROCHAR,PYROlysis based process to convert small WWTP sewage sludge into useful bioCHAR,http://www.pyrochar.eu
LIGNOFOOD,Ingredients for Food and Beverage industry from a lignocellulosic source,http://lignofood.eu/
ICOS-INWIRE,"""ICOS improved sensors, network and interoperability for GMES""",http://www.icos-inwire.lsce.ipsl.fr
ENS@T-CANCER,European Network for the Study of Adrenal Tumours - Structuring clinical research on adrenal cancers in adults,http://www.ensat-cancer.eu/
EFEVE,"""Development of a new high performance material associated to a new technological Energetic, Flexible, Economical, Versatile and Ecological process to make super strong and lightweight components""",http://www.efeve.eu
MEDIGENE,Genetic and environmental factors of insulin resistance syndrome and its long-term complications in immigrant Mediterranean populations,http://www.medigene-fp7.eu/
RETROFIT,RETROFITting ships with new technologies for improved overall environmental footprint,http://www.retrofit-project.eu
IMMOMEC,IMmune MOdulating strategies for treatment of MErkel cell Carcinoma,http://immomec.eu/
EUROSUNMED,EURO-MEDITERRANEAN COOPERATION ON RESEARCH & TRAINING IN SUN BASED RENEWABLE ENERGIES,http://www.eurosunmed.eu
I²MINE,Innovative Technologies and Concepts for the Intelligent Deep Mine of the Future,http://www.i2mine.eu
SECTOR,SECURE EUROPEAN COMMON INFORMATION SPACE FOR THE INTEROPERABILITY OF FIRST RESPONDERS AND POLICE AUTHORITIES,http://www.fp7-sector.eu/
REDIRNET,Emergency Responder Data Interoperability Network,http://www.redirnet.eu/
MAPPING_NCD,Mapping Chronic Non-Communicable Diseases Research Activities and their Impact,http://www.ncd-map.eu/
ATECT,Advanced T-cell Engineered for Cancer Therapy,http://atect-fp7.org
PHS FORESIGHT,Personal Health Systems Foresight,http://www.phsforesight.eu
VEG-I-TRADE,Impact of climate change and globalisation on safety of fresh produce – governing a supply chain of uncompromised food sovereignty,http://www.veg-i-trade.org
POC4PETS,Point of Care Diagnostics for rapid and cheap pathogen detection of companion animals,http://www.poc4pets-fp7.eu/
HYMEC,Hybrid organic/inorganic memory elements for integration of electronic and photonic circuitry,http://hymec2.physik.hu-berlin.de/
FUTRE,FUture prospects on TRansport evolution and innovation challenges for the competitiveness of Europe,http://www.futre.eu/
BETA-JUDO,Beta-cell function in juvenile diabetes and obesity,http://betajudo.org/
GIFTS,Genomic and lifestyle predictors of foetal outcome relevant to diabetes and obesity and their relevance to prevention strategies in South Asian peoples,http://www.gifts-project.eu/
NEURINOX,NOX enzymes as mediators of inflammation-triggered neurodegeneration:  modulating NOX enzymes as novel therapies,http://www.neurinox.eu/
KIDNEYCONNECT,A Gateway to European Kidney Research Resources - KidneyConnect,http://www.kidneyconnect.eu/
REACHOUT,Reaching out and linking in: Heath systems and close-to-community services,http://www.reachoutconsortium.org
SENSE,HarmoniSed ENvironmental Sustainability in the European food and drink chain,http://www.senseproject.eu/
EUROHYP-1,"""European multicentre, randomised, phase III clinical trial of hypothermia plus best medical treatment versus best medical treatment alone for acute ischaemic stroke""",http://www.eurohyp1.eu/
OPTIMISE,OPtimization of Treatment and Management of Schizophrenia in Europe (OPTiMiSE),http://www.optimisetrial.eu/
POLYGRAPH,"""Up-Scaled Production of Graphene Reinforced Thermosetting Polymers for Composite, Coating and Adhesive Applications""",http://www.polygraphproject.eu/home
SUSCLEAN,Sustainable Cleaning and Disinfection in Fresh-Cut Food Industries,http://susclean.eu/
TERIFIQ,"""Combining Technologies to achieve significant binary Reductions in Sodium, Fat and Sugar content in everyday foods whilst optimising their nutritional Quality""",http://www.terifiq.eu
DO-HEALTH,VitaminD3-Omega3-Home Exercise- HeALTHy Ageing and Longevity Trial,http://www.do-health.eu
V-TIME,Virtual reality-Treadmill combined Intervention for enhancing Mobility and reducing falls in the Elderly,http://www.v-time.eu/index.php/en/
DEVELOPAKURE,Clinical Development of Nitisinone for Alkaptonuria,http://www.developakure.eu
HPV-AHEAD,Role of human papillomavirus infection and other co-factors in the aetiology of head and neck cancer in India and Europe,http://hpv-ahead.iarc.fr/
EPIPGX,Epilepsy Pharmacogenomics: delivering biomarkers for clinical use,http://www.epipgx.eu/
DALI,Vitamin D And LIfestyle Intervention for Gestational Diabetes Mellitus (GDM) Prevention,http://www.dali-project.eu
HOMEHOIST,"""A novel, integrated, wheelchair and hoist system""",http://www.homehoist.eu
- From polysaccharide compound to health claim",http://www.fibebiotics.eu/
SECUREFISH,IMPROVING FOOD SECURITY BY REDUCING POST HARVEST LOSSES IN THE FISHERIES SECTOR,http://www.securefish.net
AERSUS,Aerogel European Supplying Unit for Space Applications,http://www.spi.pt/aersus/
PATHONGEN-TRACE,Next Generation Genome Based High Resolution Tracing of Pathogens,http://www.patho-ngen-trace.eu
FASTER,Forward Acquisition of Soil and Terrain for Exploration Rover,http://www.faster-fp7-space.eu/
