acronym,title,foundProjectUrl1,classification
CULTURAL ENCOUNTERS,Cross cultural Encounters the Travels of Gender Theory and Practice to China and the Nordic Countries,http://nias.ku.dk/research-policy/projects-under-research-theme,0
CONESYSTEM,Vision in color Molecular mechanism of the color visual system,http://www.2020-horizon.com/UNIVERSITAT-POLITECNICA-DE-CATALUNYA-p767g4.html,0
CANCERGENOMES,Functional non coding mutations in human cancer,http://www.researchgate.net/publication/230872161_The_Non-Coding_Oncogene_A_Case_of_Missing_DNA_Evidence,0
GUDHI,Algorithmic Foundations of Geometry Understanding in Higher Dimensions,https://project.inria.fr/gudhi/,1
SESAMO,Security and Safety Modelling,http://sesamo-project.eu/,1
TROPIC,Distributed computing storage and radio resource allocation over cooperative femtocells,http://www.ict-tropic.eu/,1
LIMITED_ATTENTION,Evolutionary Social and Strategic Aspects of limited Attention and Economic Policy Implications,https://www.uni-bamberg.de/vwl-fiwi/forschung/mariecuriecig-limited-attention/,1
GENETIC NANOPROBES,GENETICALLY ENCODED FLUORESCENT NANOPROBES FOR DETECTION OF RNA INTERACTIONS,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
COND,The Cognitive Neuroscience of Deception,http://www.2020-horizon.com/COND-The-Cognitive-Neuroscience-of-Deception(COND)-s18636.html,1
MOPACT,MOBILISING THE POTENTIAL OF ACTIVE AGEING IN EUROPE,http://www.sv.uio.no/econ/english/research/projects/mopact/index.html,1
EUROSENTIMENT,Language Resource Pool for Sentiment Analysis in European Languages,https://www.insight-centre.org/content/eurosentiment-language-resource-pool-sentiment-analysis-european-languages,1
HYDELTECH,Synthesis of Biomass Sourced Value Added Chemicals by Hydrothermal Electrolysis Technique,http://www.yukselasli.com/#!hydeltech/c7mo,0
PIF OIL,Regulation of Seed Storage Oil Mobilization SOM by the Phytochrome Interacting bHLH Transcription Factors PIFs,http://www.annualreviews.org/doi/full/10.1146/annurev-cellbio-101011-155741,0
FS CR:COLQUIRIITES,Route to Low cost High energy and Tunable Femtosecond Laser Technology Based on Diode Pumped Cr Colquiriites,http://www.osti.gov/eprints/topicpages/0597/wavelength+tunable+laser.html,0
SCHOOL OPP STRUCTURE,School Opportunity Structure and Student Achievement in Comparative Perspective,https://shared.uoit.ca/shared/department/opp/Governance/Academic-Council/Agendas-2003_04/20040316/Item%206.2.2a%20Life%20Sci%20Prop%20for%20CPRC_last.doc,0
LBL OF CNTS FOR SCS,Preparation of ITO free transparent conductive electrode via layer by layer deposition of carbon nanotubes and its application for solar cells,http://www.osti.gov/nle/topicpages/p/process+electrode+fabrication.html,0
GLIMER,Global Lithospheric Imaging using Earthquake Recordings,http://stephanerondenay.com/glimer-web.html,0
CRITICALFORCE,Applications of Critical Casimir Forces,http://opfocus.net/member/softmatter/index.php?topic=CriticalForce,0
RARE,Revealing Antibiotic Resistance Evolution,http://rgp.sabanciuniv.edu/projects?title=&field_facultymember_value=&field_fundingagency_value=&field_year_value=&field_projectstatus_value=All&page=2,0
MAGNETIC AGB,Illuminating the role of magnetic fields around dying stars,https://en.wikipedia.org/wiki/Star,0
PHASETOMO,Development of a three dimensional Reconstruction Algorithm for Phase Contrast Breast Tomosynthesis,http://www.tu-varna.bg/tu-varnaetm/index.php?option=com_content&task=view&id=81&Itemid=70,1
PDGENNI,Gene Environment Interactions in the Etiopathogenesis of Parkinson s Disease Role of Inflammation,http://www.dopaminet.eu/page.php?26,1
SMONDEP,Scalable Manufacturing of Organic Nano Devices for Electronics and Photonics,http://hwcvd.com/contact.html,1
HIMWARC,High Impact Weather in the Arctic fundamental understanding and future projections HIMWARC,http://www.uib.no/en/gfi/54257/high-impact-weather-arctic,0
EXPLO3RVOC,Ecophysiological control by Mediterranean forest ecosystems on the exchange processes of ozone and reactive Volatile Organic Compounds with a polluted atmosphere,http://sito.entecra.it/portale/cra_progetti.php?lingua=EN&opt_inst=Centro%20di%20ricerca%20per%20lo%20studio%20delle%20relazioni%20tra%20pianta%20e%20suolo%20-%20Sede%20(RPS)&prima_volta=0&id_str=202&account_id=,0
CHROMSENSUC,Chromophore Sensitized Up Conversion in Lanthanide Materials,http://www.researchranking.org/index.php?action=partner&p=dIm,0
CHAMP RNA HELICASE,Function Mechanism and Regulation of Mammalian Mov10L1 RNA Helicase,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
ACC_EXT,The Accident Externality from Driving Evidence from Shabbat Exit and Entry,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
EID,Extractive industries and local development a comparative study on the influence of tax and redistribution politics in three Andean countries,http://www.academia.edu/12618567/The_politics_of_indigenous_social_struggle_in_Colombia,0
NPLC-LED,IMMERSION COOLING OF SUSPENDED AND COATED NANO PHOSPHOR PARTICLES FOR ENHANCED THERMAL AND OPTICAL EXTRACTION OF LIGHT EMITTING DIODES FOR GENERAL ILLUMINATION,http://tto.ozyegin.edu.tr/en/project-fy2012/,0
DSBR AND CLUSTERS,Processing of oxidatively induced clustered DNA lesions under a double strand break repair deficiency in human tumor cells,http://www.academia.edu/2187817/14th_International_Congress_of_Radiation_Research,0
BYAIMS,Native Born Youth of African Immigrants and Cardiovascular Risk A Mixed Methods Study,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
NCGSF,Noncommutative Geometry for Singular Foliations,http://users.uoa.gr/~iandroul/NCGSF.html,0
ALLOPTICS,ALL OPTIcal signal processing on Chip in hybrid III V Si integrated platforms,http://www.ingenierie-at-lyon.org/en/laboratoire/inl-nanotechnologies-of-lyon/,0
ENIGMA,Enigma Histone Deacetylase protein complex controls cardiac hypertrophy,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
NANO4BIO,Detection of Biomarkers using Nanorods and Nanopore technologies,http://www.academia.edu/8251883/Tunable_resistive_pulse_sensing_as_a_tool_to_monitor_analyte_induced_particle_aggregation,0
BIOCHEMICAL IMAGING,Fatty acid processing and metabolism in muscle cells revealed by non linear vibrational imaging,http://www.academia.edu/22630056/Imaging_ectopic_fat_deposition_in_caenorhabditis_elegans_muscles_using_nonlinear_microscopy,0
TICS,Temporal Information in Crossmodal Stimuli,http://nobaproject.com/modules/multi-modal-perception,0
CIGSTYK2011,The role of water vapor in midlatitude storm track dynamics,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
REDMEDINV,Red Med Marine Bioinvasion,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
CLIMATE_ADAPTATION,Genetic adaptations to climate in Arabidopsis thaliana,http://www.researchgate.net/publication/51699773_Adaptation_to_Climate_Across_the_Arabidopsis_thaliana_Genome,0
WEDEPLOY,Well Being Decision Making and Unemployment in Europe,http://economicspsychologypolicy.blogspot.com/2012_05_01_archive.html,0
ICIHDCS,Isoperimetric and Concentration Inequalities in High Dimensional Convex Spaces,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
MINT ENZYMES,Microbial Expression Platform for Membrane Integrated Enzymes,https://www.google.com.au/,0
DEEPVIEW,GAZE BASED PERCEPTUAL AUGMENTATION,https://www.scribd.com/doc/293331911/Projects,0
DTIIMA,Drawing and the Transmission of Images and Ideas in the Middle Ages,http://www.archive.org/stream/traillsocialengl06trai/traillsocialengl06trai_djvu.txt,0
CELLMECH,Molecular Physical Basis of Cell Biomaterial Mechanical Coupling,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
NAVIGATING STIGMA,Navigating Stigma People with Intellectual Disability Creating Inclusive Communities,http://www.academia.edu/2551390/Tips_for_Collaborating_with_LGBT_People_Labelled_with_Intellectual_Disabilities_Griffin_Centres_sprOUT_Project_Evaluation_Report,0
NLO FOR PV,NonLinear Optics for Photovoltaics,http://www.2020-horizon.com/NLO-FOR-PV-NonLinear-Optics-for-Photovoltaics(NLO-FOR-PV)-s1682.html,0
AF AND MSOGR,Automorphic Forms and Moduli Spaces of Galois Representations,https://erc.europa.eu/projects-and-results/erc-funded-projects?page=6&f[1]=sm_field_cordis_project_funding%3AStarting%20Grant%20%28StG%29,0
MMWH,Modeling Milky Way History,http://www.stuartbruce.net/abbrev/4/m.shtml,0
PCDMC,Control of programmed cell death by metacaspases in plants,http://www.cragenomica.es/staff/detail/nuria-sanchez-coll,0
GASTIME,GAS SEEPS AND SUBMARINE SLIDES IN THE EASTERN MEDITERRANEAN TOWARD COMPREHENSIVE GEOHAZARD PREVENTION,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
INFECTIONCANCER,Identifying genetic and microbial factors that promote intestinal inflammation and cancer using Drosophila,http://www.impactjournals.com/oncotarget/index.php?journal=oncotarget&page=article&op=view&path%5B%5D=6463&path%5B%5D=17846,0
AIP1918,Anti imperial metropolis political networks of Africans Asians and Latin Americans in interwar Paris,http://www.geschkult.fu-berlin.de/e/fmi/arbeitsbereiche/ab_conrad/aip1918/index.html,0
ER LONGEVITY,Improving Protein Homeostasis to Extend Health and Lifespan,https://en.wikipedia.org/wiki/Protein,0
METAL ION SENSORS,Determination of the sensing and transcription mechanisms of bacterial metal sensors using pulsed EPR,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
INFLOW,Information Flow in Opportunistic Wireless Networks,http://www.2020-horizon.com/INFLOW-Information-Flow-in-Opportunistic-Wireless-Networks(INFLOW)-s4061.html,1
STEADY,STEADY an ICT based holistic concept for fall prevention and management among the elderly community,http://www.nejm.org/doi/full/10.1056/NEJM199409293311301,0
BETaaS,Building the Environment for the Things as a Service,http://www.betaas.eu/,1
OSSMETER,Automated Measurement and Analysis of Open Source Software,http://www.ossmeter.org/,1
DURACELL,Cell Migration under Mechanical Constraints,http://www.ijm.fr/en/ijm-news-since-2010/fiche/november-13-benoit-ladoux-selected-by-the-european-research-council-in-its-consolidator-grant-comp/,0
CORPHO,Theory of strongly correlated photonic systems,https://quantiki.org/position/postdoc-position-paris-theory-strongly-correlated-photonic-systems,0
COMMONENERGY,re conceptualize shopping malls from consumerism to energy conservation,http://www.commonenergyproject.eu/,1
READI FOR HEALTH,Regional Digital Agendas for Healthcare,http://www.readiforhealth.eu/project-overview/,1
FUN-SP,A functional framework for sparse non gaussian signal processing and bioimaging,http://bigwww.epfl.ch/research/projects/funsp.html,0
HISTANTARTSI,Historical memory Antiquarian Culture and Artistic Patronage Social Identities in the Centres of Southern Italy between the Medieval and Early Modern Period,http://www.histantartsi.eu/,0
QMOLML,Quantum control of large molecular systems using the Multi Layer MCTDH method,http://acronyms.thefreedictionary.com/Potential+energy+surface,0
X-WALD,Avionic X band Weather signal modeling and processing vALidation through real Data acquisition and analysis,http://www.aerodays2015.com/wp-content/uploads/sites/20/1E-Fabrizio-Cuccoli.pdf,0
SEA-ON-A-CHIP,Real time monitoring of SEA contaminants by an autonomous Lab on a chip biosensor,http://sea-on-a-chip.eu/,0
QUIET-TRACK,Quiet Tracks for Sustainable Railway Infrastructures,http://www.quiet-track.eu/,1
EVOLUTION,The Electric Vehicle revOLUTION enabled by advanced materials highly hybridized into lightweight components for easy integration and dismantling providing a reduced life cycle cost logic,http://www.transport-research.info/project/electric-vehicle-revolution-enabled-advanced-materials-highly-hybridized-lightweight,1
MULTIFUN,Multifunctional Nanotechnology for selective detection and Treatment of cancer,http://www.multifun-project.eu/content/publications,0
CAMCON,Campylobacter control novel approaches in primary poultry production,http://www.2020-horizon.com/CAMCON-Campylobacter-control-novel-approaches-in-primary-poultry-production(CAMCON)-s8232.html,1
ELDERLY STEREOTYPES,Nice but incompetent The eldery stereotype in Europe,http://www.globalaging.org/elderrights/world/2005/archive05.htm,0
AMPCAT,Self Amplifying Stereodynamic Catalysts in Enantioselective Catalysis,https://www.uni-heidelberg.de/research/service/eu/erc_starting_and_consolidator_grants.html,0
DUPLO,Full Duplex Radios for Local Access,http://www.fp7-duplo.eu/,1
VPH-Share,Virtual Physiological Human Sharing for Healthcare A Research Environment,http://www.vph-share.eu/,1
CASMACAT,Cognitive Analysis and Statistical Methods for Advanced Computer Aided Translation,http://www.casmacat.eu/,1
SAGE,Speed of Adaptation in Population Genetics and Evolutionary Computation,http://www.project-sage.eu/project-sage/index.aspx,1
STRAUSS-EU,Scalable and efficienT oRchestrAtion of Ethernet services Using Software defined and flexible optical networkS EU,http://www.ict-strauss.eu/en/,1
CSP2,Concentrated Solar Power in Particles,http://www.csp2-project.eu/,1
HIPOCRATES,SELF HEALING POLYMERS FOR CONCEPTS ON SELF REPAIRED AERONAUTICAL COMPOSITES,http://www.jeccomposites.com/news/composites-news/hippocrates-european-project-self-healing-aeronautical-composites,0
DISCIT,Making Persons with Disabilities Full Citizens New Knowledge for an Inclusive and Sustainable European Social Model,https://pure.york.ac.uk/portal/en/projects/discit-making-persons-with-disabilities-full-citizens--new-knowledge-for-an-inclusive-and-sustainable-european-social-model(efab5a1b-275b-42d0-b074-2f96825eb376).html,0
UDRIVE,eUropean naturalistic Driving and Riding for Infrastructure Vehicle safety and Environment,http://www.transport-research.info/project/european-naturalistic-driving-and-riding-infrastructure-vehicle-safety-and-environment,1
BIO-MIMETIC,New bio inspired processes and products from renewable feedstocks,http://www.biomimetic-eu-project.eu/,1
TCSPOWER,Thermochemical Energy Storage for Concentrated Solar Power Plants,http://elib.dlr.de/77986/1/SolarPaces_2012_TCSPower_W%C3%B6rner_pdf.pdf,0
HELIX,The Human Early Life Exposome novel tools for integrating early life environmental exposures and child health across Europe,http://www.projecthelix.eu/,0
VELaSSCo,VISUALIZATION FOR EXTREMELY LARGE SCALE SCIENTIFIC COMPUTING,http://velassco.eu/,0
CHILD-EU,Orphans Unite chILD better together European Management Platform for Childhood Interstitial Lung Diseases,http://www.childeu.net/en/about_child-eu/index.html,1
LPAQ,Language policies and attitudes in Quebec,http://jakobleimgruber.ch/lpaq/index.html,1
SPLS,Smart programmable load and source,http://triphase.com/applications/smart-programmable-load-and-source-for-moreelectric-aircraft-testing/,0
PAPETS,Phonon Assisted Processes for Energy Transfer and Sensing,http://www.papets.eu/,1
SUSFUELCAT,Sustainable fuel production by aqueous phase reforming understanding catalysis and hydrothermal stability of carbon supported noble metals,http://www.btgworld.com/en/rtd/technologies/liquid-phase-processing,0
HIT HIDDEN HIV,Paving the way towards HIV eradication control,http://www.researchranking.org/?action=project&p=doy,1
NTNSP,A Non Contractive Theory of Naive Semantic Properties Logical Developments and Metaphysical Foundations,http://www.eliazardini.eu/projects/ntnsp/,0
ENVIEVAL,Development and application of new methodological frameworks for the evaluation of environmental impacts of rural development programmes in the EU,http://ageconsearch.umn.edu/bitstream/182933/2/ENVIEVAL_Schwarz_et_al_811.pdf,0
MEM4WIN,Ultra thin glass membranes for advanced adjustable and affordable quadruple glazing windows for zero energy buildings,http://www.mem4win.eu/,1
POLFREE,Policy Options for a Resource Efficient Economy,http://www.polfree.eu/,1
PIGSCAN,AUTOMATIC GRADING SYSTEM FOR DETERMINING LEAN FAT DISTRIBUTION IN PIG CARCASSES,http://www.irta.cat/en-us/RIT/Noticies/pages/Pigscan_meeting_300914.aspx,1
SONIC,Suppression Of underwater Noise Induced by Cavitation,http://www.transport-research.info/project/suppression-underwater-noise-induced-cavitation,1
EPINET,Integrated Assessment of Societal Impacts of Emerging Science and Technology from within Epistemic Networks,http://epinet.no/,0
TOMCAR-PERMAFROST,Terrestrial organic matter characterization in Arctic River through molecular and isotopic analyses,https://tomcarpermafrost.wordpress.com/,0
HK97 MATURATION,Structural studies of HK97 bacteriophage assembly and maturation,http://link.springer.com/chapter/10.1007/978-1-4614-0980-9_15/fulltext.html,0
PROFILES,Professional Reflection Oriented Focus on Inquiry based Learning and Education though Science,http://www.pef.uni-lj.si/483.html,0
PROFI,Proteomics facility at the Institute of Molecular Biology and Biotechnology,http://profi.imbb.forth.gr/overview.html,1
ARC,Architectural Freeform Structures from Single Curved Panels,http://www.geometrie.tuwien.ac.at/ARC/,1
FIXO3,Fixed Point Open Ocean Observatories Network,http://www.fixo3.eu/,1
IMAGINT,HER Imaging and Molecular Interaction Mapping in Breast Cancer,http://www.imagint.eu/,1
BRONZE AGE,European Bronze Age Cultures and technical evolution a Phylogenetic Approach,https://www.ucl.ac.uk/archaeology/people/staff/honorary/manem,0
SNIAPROG,A Close Look at Type Ia Supernova Progenitors,http://www.eeas.europa.eu/delegations/israel/documents/eu_israel/fp7_projects.xls,0
ISEFOR,Increasing Sustainability of European Forests Modelling for Security Against Invasive Pests and Pathogens under Climate Change,http://www.researchgate.net/profile/Justyna_Nowakowska/publication/259841571_Increasing_Sustainability_of_European_Forests_Modelling_for_Security_Against_Invasive_Pests_and_Pathogens_under_Climate_Change/links/0c96052e13e6094cc8000000.pdf,0
GREEN KITCHEN,Network for strategic Industry Academia research on energy efficiency optimised resources use and process innovation of home appliances and their domotic integration,http://www.iapp-greenkitchen.eu/,1
BLACK HOLES - BPS,Black holes BPS states and topological string theory,http://www.euussciencetechnology.eu/content/black-holes-bps-states-and-topological-string-theory,1
SUSREF,SUSTAINABLE REFURBISHMENT OF BUILDING FACADES AND EXTERNAL WALLS,http://cic.vtt.fi/susref/,1
INDUSTEM,Comparative stem cell research in mouse and humans,http://www.biotalentum.hu/news/WORKSHOP4,0
TRYPOBASE,Nucleobase derivatives as drugs against trypanosomal diseases,http://www.2020-horizon.com/TRYPOBASE-Nucleobase-derivatives-as-drugs-against-trypanosomal-diseases(TRYPOBASE)-s12335.html,1
FLUPOL,Fuel Cell Membranes Based on Functional Fluoropolymers,http://www.itm.cnr.it/files/EU_CHINA_Newsletter2010.pdf,0
ASTRO-LAB,ASSESSMENT OF THE SAFETY OF LABAS IN ASTHMA IN ROUTINE CARE BY COMBINING HEALTH CARE DATABASES AND DIRECT PATIENT FOLLOW UP,http://www.wageningenur.nl/en/show/astrolab.htm,0
GSOC,Global Statistics of Ocean Currents,http://www.dlr.de/hr/en/desktopdefault.aspx/tabid-2317/3669_read-5495/,0
POEM,Perceptual Organization and Eye Movements,http://www.2020-horizon.com/POEM-Perceptual-Organization-and-Eye-Movements(POEM)-s4145.html,0
REALISTIC CODON MODE,Biologically motivated probabilistic evolutionary models and their use for genomic analyses,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
UNDERNEATH MIGRAINE,Underneath the attack cortical network function in migraine,https://en.wikipedia.org/wiki/Electroencefalography,0
NUMERICS4NLP,Numerical Methods for Nonlocal Problems,http://www.2020-horizon.com/TOBB-EKONOMI-VE-TEKNOLOJI-UNIVERSITESI-p378g1.html,0
IDESIGN,Enabling Seismic Design Decision Making under Uncertainty,http://users.ntua.gr/divamva/projects.html,0
HYPERBOLIC GRAPHS,Hyperbolic random graphs,http://mathworld.wolfram.com/HyperbolicFunctions.html,0
ROBODAR,Role of Biotransformation on the Dynamics of Antimicrobial Resistance,http://www.2020-horizon.com/ROBODAR-Role-of-Biotransformation-on-the-Dynamics-of-Antimicrobial-Resistance(ROBODAR)-s4078.html,1
DOSYMNPS,Novel applications of diffusion NMR spectroscopy in microbial natural products research,http://www.medinadiscovery.com/es/component/content/article?id=76,0
ASEL-MID-IR,Compact high energy and wavelength diverse coherent mid infrared source,http://www.aselsan.com.tr/en-us/innovation/Pages/Open-Innovation.aspx,0
ECOMAWAT,Ecosystem based management strategies for urban wastewater systems,http://www.youtube.com/watch?v=Jaav-GCy1FI,0
ARCH,Architecture and roadmap to manage multiple pressures on lagoons,http://www.arch-fp7.eu/,0
STATUS,THE LIMITS TO THE TRANSFER OF FIRMS STATUS ADVANTAGES IN CROSS BORDER INVESTMENTS,http://rgp.sabanciuniv.edu/projects?title=&field_facultymember_value=&field_fundingagency_value=&field_year_value=&field_projectstatus_value=All&page=5,0
CAPX IN HS SIGNALING,Role of cytosolic ascorbate peroxidases cAPXs in heat stress HS perception and in systemic HS signaling,http://link.springer.com/chapter/10.1007/978-90-481-9404-9_3/fulltext.html,0
BIOPHYSRETRAIN,Biophysics of Reverse Transcription and its Inhibition,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
COCULMICRO,Cocultivation of microorganisms as a strategy for discovery of new natural products with antimicrobial properties,http://www.medinadiscovery.com/es/component/content/article?id=76,0
PVA DEVELOPMENT,IDENTIFYING AND CHARACTERIZING REGULATORS OF PRIMORDIAL VASCULAR ADVENTITIA DEVELOPMENT ORGANIZATION AND FUNCTION,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
GLYCOPROTEOMICS,Quantitative Glycomics and Glycoproteomics for Biomarker Discovery,https://www.researchgate.net/publication/226260811_The_Potentials_of_Glycomics_in_Biomarker_Discovery,0
METAL TRANSPORTERS,Mechanistic and Pharmacological studies of transition metal ABC transporters that are essential to bacterial virulence,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
EGCG+INSULIN=,Towards construction of a comprehensive map of amyloid ligand interactions Epigallocatechin 3 Gallate and insulin amyloid,http://www.ibt.lt/en/grants.html,0
STRA6,The Function of the RBP4 Receptor Stra6 during Retinol Saturase Regulated Adipocyte Differentiation,http://www.2020-horizon.com/STRA6-The-Function-of-the-RBP4-Receptor-Stra6-during-Retinol-Saturase-Regulated-Adipocyte-Differentiation(STRA6)-s4052.html,1
EOBOTE,Study of Endothelial and Osteoclastic cells cooperation for Bone Tissue Engineering applications,http://www.2020-horizon.com/UNIVERSITE-VICTOR-SEGALEN-BORDEAUX-II-p2813g2.html,0
MORALCOMPASS,The Moral Compass How Moral Judgment Guides Political Attitudes,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
RE-ACT,Novel active nanophotonic devices in rare earth doped double tungstates,http://eprints.eemcs.utwente.nl/view/project/RE-ACT.html,0
ULTRA PARTICLE,Ultra precise nanoparticles to harvest light,http://nextbigfuture.com/2015/09/light-harvesting-nanoparticles-captures.html,0
AUTOPHAGTUBERCULOSIS,MOLECULAR MECHANISMS OF AUTOPHAGY REGULATION IN TUBERCULOSIS,http://www.2020-horizon.com/CENTRE-NATIONAL-DE-LA-RECHERCHE-SCIENTIFIQUE-p87g27.html,0
COWDM,Compact Silicon Photonics Coherent WDM Transceiver,http://www.2020-horizon.com/COWDM-Compact-Silicon-Photonics-Coherent-WDM-Transceiver(COWDM)-s4236.html,0
FDMLHC,From Dark Matter to the Large Hadron Collider A New Data Driven Era,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
SLICA,Stationary Light In Cold Atoms,http://www.2020-horizon.com/SLICA-Stationary-Light-In-Cold-Atoms(SLICA)-s4196.html,1
CELL THERAPY,Harnessing of hematopoietic stem cells for targeting of brain metastases,http://www.nature.com/labinvest/journal/v94/n1/full/labinvest2013116a.html,0
HTDDSFMT,HIGH THROUGHPUT DRUG DISCOVERY STUDIES FOR MENINGIOMA THERAPEUTICS,http://www.meduniwien.ac.at/homepage/content/wissenschaft-forschung/drittmittelfinanzierte-projekte/eu-projekte/weitere-eu-projekte-in-fp7/,0
ONCOGENEREGULATION,Dissecting the Genome wide Action of Interferon Regulatory Factor 4 IRF4 in Melanoma,http://www.arastirma.boun.edu.tr/arastirma.php?a_l=tr&p=182,0
REAKT,Strategies and tools for Real Time EArthquake RisK ReducTion,http://www.reaktproject.eu/,1
IONOMIC VARIATION,The Genetic Basis and Adaptive Significance of Natural Ionomic Variation,https://ag.purdue.edu/hla/cv/SaltCV.pdf,0
SYSGEN OF OBESITY,Systems Genetics of Obesity and Related Metabolic Traits in Pig Model to Improve Human Health,http://www.qsg.dk/sysgenobs/,0
REPHRAME,Development of improved methods for detection control and eradication of pine wood nematode in support of EU Plant Health policy,http://www.rephrame.eu/,1
WINGACCS,Wing Dynamics Acceleration Sensor,http://eur-lex.europa.eu/legal-content/ro/TXT/?uri=CELEX:52013SC0539,0
MEMBRANE PROTEINS,Visualizing the structure and function of elusive membrane receptor proteins of the human cell,http://link.springer.com/article/10.1007/s00232-015-9802-0/fulltext.html,0
HEVICO,Virtual control methods for coupling heterogeneous problems,https://dspace.lboro.ac.uk/dspace-jspui/handle/2134/18749,0
ENFOQI,Entanglement and the foundations of quantum information,http://www.physik.uni-siegen.de/tqo/funding.html?lang=de,0
TOAS,New remote sensing technologies for optimizing herbicide applications in weed crop systems,https://toasproject.wordpress.com/,1
FLEAMICROBIOME,Effects of ecological factors on bacterial communities of fleas,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
MASTIC,Multi Atomistic Monte Carlo Simulation of Technologically Important Crystals,http://www.materials.imdea.org/research/projects/MASTIC,1
INDUSTRYTECH2012,Industrial Technologies conference 2012,http://www.etp-nanomedicine.eu/public/news-events/events/events-archive/industrial-technologies-conference-2012,1
COOL,First principles engineering of thermal and electrical transport at the nanoscale,https://en.wikipedia.org/wiki/Nanotechnology,0
MUSICC,Multi proxy approach of marine Silicon and Carbon biogeochemical Cycles,http://biogeochemist.eu/musicc/field-trips/,0
DR-NANO,Depth Resolved Optical Nanoscopy,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
ADAPT_EVOL,The molecular process and functional consequences of adaptation,http://link.springer.com/article/10.1007/s00300-015-1812-y/fulltext.html,0
PHOTORECEPTION,Photoactive proteins from the intrinsic properties of biochromophores towards the ultra fast excited state reaction dynamics in photoreceptors,http://www.science.gov/topicpages/u/uv+photobiology+dna.html,0
MECHANOSENSORYTREES,Role of Mechanosensory Touch Based Cues on Arborization of Neuronal Dendritic Trees,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
NBMR AND AMBIVALENCE,Extending the Needs Based Model of Reconciliation to ambivalent contexts The emotional needs of adversaries who simultaneously serve as both victims and perpetrators,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
META-PHOT,Light Matter Interaction in Smart Optical Materials,http://www.researchranking.org/index.php?action=partner&p=daFI,0
TRADITION,The Dialectic of Tradition and the Transformation of Theological Knowledge in Modern Jewish Writing,http://www.2020-horizon.com/TRADITION-The-Dialectic-of-Tradition-and-the-Transformation-of-Theological-Knowledge-in-Modern-Jewish-Writing(TRADITION)-s4341.html,0
CBHEO,Connecting numerical simulations of black holes with experiment and observations,http://science.studentnews.eu/s/3941/76610-Space-science/4078662-Gravitational-waves-tool-to-observe-black-holes.htm,0
PROTONICS,Mechanistic aspects of protons in hard materials for clean energy applications,http://www.2020-horizon.com/PROTONICS-Mechanistic-aspects-of-protons-in-hard-materials-for-clean-energy-applications(PROTONICS)-s4292.html,1
COFRET,Carbon footprint of freight transport,http://www.cofret-project.eu/,1
ELECTROMAT,Electronic Transport in Organic Materials,http://www.scl.rs/29-projects/active-projects/752-electromat,0
AISENSE,Human Computer Interaction and Computer Vision for Improving Healthy Living of Elderly through Exer gaming,http://eitdigital.eu/fileadmin/files/publications/20140911_tfr_social-wellbeing-for-active-healthy-ageing.pdf,0
NDTERROR,Can Natural Disasters Incite Terror,http://www.thefreedictionary.com/Empirical+question,0
SISQ,Silicon Spin Quantum Bits,http://eprints.eemcs.utwente.nl/view/project/SISQ.html,0
