,acronym,title,foundProjectUrl1,classification
3804,ELIQUID,Best Engineering Training in Electric Lightweight and Quiet Driving,http://www.fp7-eliquid.eu/,1
3810,IFAAM,Integrated Approaches to Food Allergen and Allergy Risk Management,http://www.inflammation-repair.manchester.ac.uk/iFAAM/,1
3811,RESOLVE,A systems biology approach to RESOLVE the molecular pathology of two hallmarks of patients with metabolic syndrome and its co morbidities hypertriglyceridemia and low HDL cholesterol,http://www.genexplain.com/resolve,1
3815,SWITCH-HD,Switching the disease off Effects of spatial and temporal inactivation of mutant huntingtin in Huntington disease,http://www.researchranking.org/index.php?action=project&p=dHz,1
3817,TIMCC,Tumor Infiltrating Myeloid Cell Compartment,http://www.timcc.eu/,1
3818,BOT-ERA,Reinforcing cooperation between the Royal Botanic Garden of Jordan and ERA,http://boterajordan.org/,1
3822,ESCODNA,European School of DNA Nanotechnology,https://escodna.eu/,1
3825,CARBONNASA,Carbon based Nanomaterials and Nanostructures for Advanced Sensing Applications,http://www.euussciencetechnology.eu/content/carbon-based-nanomaterials-and-nanostructures-advanced-sensing-applications,1
3831,SIRUE,Sustainable Infrastructure for Resilient Urban Environments,http://www.researchgate.net/publication/263848838_Sustainable_infrastructure_for_resilient_urban_environments,1
3834,GO-SKA,GO SKA A proposal for coordinating supporting policy development of the global organisation of the Square Kilometre Array,http://www.inaf.it/it/sedi/sede-centrale-nuova/direzione-scientifica/relazioni-internazionali/programmi-quadro/schede-progetti-fp7/go-ska,1
3839,ECCSEL PP2,European Carbon Dioxide Capture and Storage Laboratory Infrastructure Preparatory Phase 2,http://www.eccsel.org/,1
3840,ECNP-GROWTH,CONSOLIDATION OF THE EUROPEAN CENTRE FOR NANOSTRUCTURED POLYMERS,http://www.nanoleap.eu/ecnp,1
3843,DEMOTEST-EV,DEsign MOdelling and TESTing tools for Electrical Vehicles powertrain drives,http://www.demotest-ev.com/,1
3844,p2pvalue,Techno social platform for sustainable models and value generation in commons based peer production in the Future Internet,http://www.p2pvalue.eu/,1
3845,MatterWave,A Guided Matter Wave Interferometer on a Atom Chip,http://matterwave.eu/,1
3848,POETICON,The Poetics of Everyday Life Grounding Resources and Mechanisms for Artificial Agents,http://www.fri.uni-lj.si/en/research/projects/6515/project.html,1
3849,EU-MESH,Enhanced Ubiquitous and Dependable Broadband Access using MESH Networks,http://www.eu-mesh.eu/,1
3854,GEOCROWD,A Geospatial Knowledge World,http://www.st-andrews.ac.uk/gsd/research/geocrowd/,1
3857,HOMAGE,Heart OMics in AGEing,http://www.homage-hf.eu/,1
3860,E-COM@EU,Effective Communication in Outbreak Management development of an evidence based tool for Europe,http://ecomeu.info/,1
3862,TAILORWELD,TAILORed Energy Distributions for Laser WELDing,http://www.tailorweld.eu/,1
3864,HOSPITABLE EUROPE,Hospitality vs Hatred of the Other A Study of Welcoming versus Prejudiced Representations of Otherness in Britain and Poland,http://tkitlinski.com/marie-curie-project/,1
3874,RESPONSIFY,Genome based biomarkers leading to validated molecular diagnostic tests for response prediction in breast cancer,http://www.responsify-fp7.eu/,1
3875,BIONUT,BIOchemical and genetic dissection of control of plant mineral NUTrition,http://bionutitneu2.fatcow.com/,1
3878,BESTAGEING,Biomarker Research Alliance for Diagnosing Heart Disease in the Ageing European Population,http://www.bestageing.eu/home.htm,1
3883,LONGLIFE,Advanced multifunctional zirconia ceramics for long lasting implants,http://longlife-project.eu/,1
3884,PICTORIAL HISTORY,Pictorial History in Mesoamerican Religions,http://www.zegk.uni-heidelberg.de/religionswissenschaft/mesoamerica/project.html,1
3887,HILAMBIZ,HiLamBiz,https://www.etw.de/cms/services-research/research,1
3889,LBLBRANE,Regenerable active polyelectrolyte nanofiltration membranes for water reuse and metal acid recovery,http://www.lblbrane.eu/,1
3892,Prosperity4All,Ecosystem infrastructure for smart and personalised inclusion and PROSPERITY for ALL stakeholders,http://www.prosperity4all.eu/,1
3893,eCOMPASS,eCO friendly urban Multi modal route PlAnning Services for Mobile uSers,http://www.transport-research.info/project/eco-friendly-urban-multi-modal-route-planning-services-mobile-users,1
3897,TUMOR,Transatlantic TUmour MOdel Repositories,http://tumor-project.eu/,1
3898,COnCEPT,COllaborative CrEative design PlaTform,http://www.concept-fp7.eu/about-concept.html,1
3900,HARPA,Harnessing Performance Variability,http://www.harpa-project.eu/,1
3901,PowerUp,Specification Implementation Field Trial and Standardisation of the Vehicle 2 Grid Interface,http://www.transport-research.info/project/specification-implementation-field-trial-and-standardisation-vehicle-2-grid-interface,1
3902,OpenDataMonitor,Monitoring Analysis and Visualisation of Open Data Catalogues Hubs and Repositories,http://www.synyo.com/projects/opendatamonitor/,1
3906,FUTON,Fibre Optic Networks for Distributed and Extendible Heterogeneous Radio Architectures,http://www.ict-futon.eu/,1
3910,READY4SmartCities,ICT Roadmap and Data Interoperability for Energy Systems in Smart Cities,http://www.ready4smartcities.eu/,1
3912,SMART,Search engine for MultimediA enviRonment generated contenT,http://www.smartfp7.eu/,1
3914,CAMEI,Coordination Actions in the scientific era of Medical Education Informatics for fostering IT skills for healthcare workforce in the EU and USA,http://mei2015.camei-project.eu/content/session-5-international-project-space,1
3915,PHYDYAS,Physical layer for dynamic spectrum access and cognitive radio,http://www.ict-phydyas.org/,1
3916,REDUCTION,Reducing Environmental Footprint based on Multi Modal Fleet management System for Eco Routing and Driver Behaviour Adaptation,http://147.172.223.251/reduction/,1
3917,NECOMA,Nippon European Cyberdefense Oriented Multilayer threat Analysis,http://www.necoma-project.eu/,1
3919,SpeDial,Spoken Dialogue Analytics,https://sites.google.com/site/spedialproject/,1
3922,GINI-SA,Global Identity Networking of Individuals Support Action,http://gini-sa.eu/,1
3923,SAVE,Self Adaptive Virtualisation Aware High Performance Low Energy Heterogeneous System Architectures,https://www.hipeac.net/network/projects/6747/save/,1
3926,CLOUD4all,Cloud platforms Lead to Open and Universal access for people with Disabilities and for All,http://www.cloud4all.info/,1
3927,PSIRP,Publish subscribe Internet Routing Paradigm,http://www.psirp.org/,1
3928,e-SAVE,Energy Efficiency in the Supply Chain through Collaboration Advanced Decision Support and Automatic Sensing,http://www.eltrun.gr/e-save-2/?lang=en,1
3930,Adapt4EE,Occupant Aware Intelligent and Adaptive Enterprises,http://www.adapt4ee.eu/,1
3931,Finesce,Future INternEt Smart Utility ServiCEs,http://www.finesce.eu/,1
3933,HAVE-it,Highly Automated Vehicles for Intelligent Transport,http://www.haveit-eu.org/,1
3934,TEFIS,TEstbed for Future Internet Services,http://www.smartsantander.eu/index.php/related-projects/item/127-tefis-testbed-for-future-internet-services,1
3935,WeKnowIt,Emerging collective intelligence for personal organizational and social use,http://image.ntua.gr/iva/publications/weknowit_emerging_collective_intelligence_personal_organizational_and_social_use,1
3936,EINS,Network of Excellence in Internet Science,http://www.internet-science.eu/,1
3940,IRMOS,Interactive Realtime Multimedia Applications on Service Oriented Infrastructures,http://www.irmosproject.eu/,1
3941,ICSI,Intelligent Cooperative Sensing for Improved traffic efficiency,http://www.transport-research.info/project/intelligent-cooperative-sensing-improved-traffic-efficiency,1
3943,GN3plus,Multi Gigabit European Research and Education Network and Associated Services,https://www.grnet.gr/en/gn3plus,1
3944,CHAIN-REDS,Coordination and Harmonisation of Advanced e Infrastructures for Research and Education Data Sharing,http://www.chain-project.eu/,1
3946,ESPAS,Near Earth Space Data Infrastructure for e Science,http://www.espas-fp7.eu/,1
3955,4CaaST,Building the PaaS Cloud of the Future,http://www.4caast.eu/,1
3956,UaESMC,Usable and Efficient Secure Multiparty Computation,http://www.usable-security.eu/,1
3957,CRe-AM,Creativity REsearch Adaptive roadmap,http://www.cre-am.eu/,1
3958,INDICATE,International Network for a Digital Cultural Heritage e Infrastructure,http://www.indicate-project.eu/,1
3959,idSPACE,Tooling of and training for collaborative distributed product innovation,http://idspace-project.org/,1
3961,ORBIT,Business Continuity as a Service,http://www.orbitproject.eu/,1
3962,PERICLES,Promoting and Enhancing Reuse of Information throughout the Content Lifecycle taking account of Evolving Semantics,http://www.pericles-project.eu/page/about,1
3963,GRDI2020,Towards a 10 Year Vision for Global Research Data Infrastructures,http://researchprojects.kth.se/index.php/kb_1/io_10458/io.html,1
3967,ViBRANT,Virtual Biodiversity Research and Access Network for Taxonomy,http://vbrant.eu/,1
3968,CLERECO,Cross Layer Early Reliability Evaluation for the Computing cOntinuum,http://www.clereco.eu/,1
3970,PortDial,Language Resources for Portable Multilingual Spoken Dialogue Systems,https://sites.google.com/site/portdial2/,1
3971,EU Community,EU Community,http://project.eucommunity.eu/,1
3974,CloPeMa,Clothes Perception and Manipulation,http://clopemaweb.felk.cvut.cz/,1
3975,DR THERAPAT,Digital radiation therapy patient,http://drtherapat.eu/summary/,1
3976,RT3S,Real Time Simulation for Safer vascular Stenting,http://www.fondazionepolitecnico.it/en/what-we-do/european-projects/item/rt3s-real-time-simulation-for-safer-vascular-stenting,1
3977,CARRE,Personalized patient empowerment and shared decision support for cardiorenal disease and comorbidities,http://www.carre-project.eu/,1
3978,tranScriptorium,tranScriptorium,http://transcriptorium.eu/,1
3980,Geo-Seas,Pan European infrastructure for management of marine and ocean geological and geophysical data,http://www.geo-seas.eu/,1
3982,6DEPLOY,IPv6 Deployment Support,http://www.6deploy.eu/,1
3983,PESI,A Pan European Species directories Infrastructure,http://www.eu-nomen.eu/,1
3984,E-IRGSP2,e Infrastructures reflection group support Programme 2,https://rd-alliance.org/about/organization/key-profiles/leif-laaksonen.html,1
3985,SEE-GRID-SCI,SEE GRID eInfrastructure for regional eScience,http://see-grid-sci.eu/,1
3986,BELIEF-II,BRINGING EUROPE S ELECTRONIC INFRASTRUCTURES TO EXPANDING FRONTIERS II,http://www.d4science.eu/node/641,1
3988,PRACE-2IP,PRACE Second Implementation Phase Project,http://www.prace-ri.eu/,1
3989,FEDERICA,Federated e infrastructure dedicated to European Researchers innovating in computing network architectures,http://www.fp7-federica.eu/,1
3990,CHAIN,Co ordination and Harmonisation of Advanced e INfrastructures,http://www.chain-project.eu/,1
3992,e-FISCAL,Financial Study for Sustainable Computing e Infrastructures,http://efiscal.eu/,1
3993,Discover the COSMOS,DISCOVER THE COSMOS e Infrastructures for an Engaging Science Classroom,http://www.discoverthecosmos.eu/,1
3994,6DEPLOY-2,IPv6 Deployment Support,http://www.6deploy.eu/,1
3996,NMDB,Real Time database for high resolution Neutron Monitor measurements,http://www.nmdb.eu/,1
3997,ORIENTplus,Linking European and Chinese Research Infrastructures and Communities,http://www.orientplus.eu/,1
3999,PRACE-1IP,PRACE First Implementation Phase Project,http://www.prace-ri.eu/,1
4001,EarthServer,European Scalable Earth Science Service Environment,http://www.earthserver.eu/,1
4002,EMI,European Middleware Initiative,http://www.eu-emi.eu/,1
4004,HP-SEE,High Performance Computing Infrastructure for South East Europe s Research Communities,https://www.hp-see.eu/,1
4007,Broker@Cloud,ENABLING CONTINUOUS QUALITY ASSURANCE AND OPTIMIZATION IN FUTURE ENTERPRISE CLOUD SERVICE BROKERS,http://www.broker-cloud.eu/,1
4008,MMM@HPC,Multiscale Materials Modelling on High Performance Computer Architectures,http://www.multiscale-modelling.eu/,1
4009,BlogForever,BlogForever,http://blogforever.eu/,1
4010,REVEAL,REVEALing hidden concepts in Social Media,http://revealproject.eu/,1
4012,MOBiNET,Europe Wide Platform for Cooperative Mobility Services,http://www.xrce.xerox.com/About-XRCE/News/Announcements/MOBINET-Europe-Wide-Platform-for-Cooperative-Mobility-Services,1
4013,RDA Europe,RDA Europe the European plug in to the global Research Data Alliance RDA,http://www.madgik.di.uoa.gr/content/1440,1
4014,EGI-InSPIRE,European Grid Initiative Integrated Sustainable Pan European Infrastructure for Researchers in Europe,https://www.egi.eu/about/egi-inspire/,1
4016,DIACHRON,DIACHRON Managing the Evolution and Preservation of the Data Web,http://www.diachron-fp7.eu/,1
4019,spOt,Spin Orbit Torque memory for cache Multicore processor applications,http://www.spot-research.eu/,1
4020,IDEALIST,Industry Driven Elastic and Adaptive Lambda Infrastructure for Service and Transport Networks,http://www.ict-idealist.eu/,1
4023,TRANSFoRm,TRANSLATIONAL RESEARCH AND PATIENT SAFETY IN EUROPE,http://www.transformproject.eu/,1
4025,CumuloNimbo,A Highly Scalable Transactional Multi Tier Platform as a Service,http://cumulonimbo.eu/,1
4026,PRONTO,Event Recognition for Intelligent Resource Management,http://www.ict-pronto.org/,1
4027,MOSAIC,MOSAIC MOdels and Simulation techniques for discovering diAbetes Influence faCtors,http://www.mosaicproject.eu/,1
4030,SmoothIt,Simple Economic Management Approaches of Overlay Traffic in Heterogeneous Internet Topologies,http://smoothit.org/index.php?id=81,1
4031,MD PAEDIGREE,Model Driven European Paediatric Digital Repository,http://www.md-paedigree.eu/,1
4033,2D-NANOLATTICES,Strongly anisotropic Graphite like semiconductor dielectric 2D nanolattices,http://2dnanolattices.eu/,1
4035,RDA Europe,Research Data Alliance Europe,https://rd-alliance.org/,1
4036,PREFORMA,PREservation FORMAts for culture information e archives,http://preforma-project.eu/,1
4041,SIREN,Social games for conflIct REsolution based on natural iNteraction,http://sirenproject.eu/,1
4043,SEMEOTICONS,SEMEiotic Oriented Technology for Individual s CardiOmetabolic risk self assessmeNt and Self monitoring,http://www.semeoticons.eu/,1
4044,SAM,Dynamic Social and Media Content Syndication for 2nd Screen,http://samproject.net/,1
4045,Logistics for LIFE,Logistics Industry Coalition for Long term ICT based Freight Transport Efficiency,http://www.transport-research.info/project/logistics-industry-coalition-long-term-ict-based-freight-transport-efficiency,1
4047,MiniFaros,Low cost Miniature Laserscanner for Environment Perception,http://www.minifaros.eu/,1
4052,MIRAGE,Multi coRe multi level WDM enAbled embedded optical enGine for Terabit board to board and rack to rack parallel optics,http://www.ict-mirage.eu/,1
4053,OCTOPUS,Novel Design Principles and Technologies for a New Generation of High Dexterity Soft bodied Robots Inspired by the Morphology and Behaviour of the Octopus,http://www.octopusproject.eu/objectives.html,1
4054,E3NETWORK,Energy Efficient E band transceiver for backhaul of the future networks,http://ict-e3network.eu/,1
4059,Optique,Scalable End user Access to Big Data,http://optique-project.eu/,1
4060,HIVE,Hyper interaction viability experiments,http://hive-eu.org/,1
4063,Apple-CORE,Architecture Paradigms and Programming Languages for Efficient programming of multiple CORES,http://apple-core.info/,1
4064,ENCORE,ENabling technologies for a programmable many CORE,http://www.encore-project.eu/,1
4065,EUCogIII,3rd European Network for the Advancement of Artificial Cognitive Systems Interaction and Robotics,http://eucognition.org/,1
4068,C2Learn,Creative Emotional Reasoning Computational Tools Fostering Co Creativity in Learning Processes,http://www.c2learn.eu/,1
4070,LISTA,The Listening Talker,http://www.listening-talker.org/,1
4071,ABC4Trust,Attribute based Credentials for Trust,https://abc4trust.eu/,1
4072,FOTsis,European Field Operational Test on Safe Intelligent and Sustainable Road Operation,http://www.fotsis.com/,1
4073,TEAM,Tomorrow s Elastic Adaptive Mobility,http://www.collaborative-team.eu/,1
4075,CEEDs,The Collective Experience of Empathic Data Systems,http://ceeds-project.eu/,1
4078,STREAM,Scalable Autonomic Streaming Middleware for Real time Processing of Massive Data Flows,http://www.streamproject.eu/,1
4079,FI-ADOPT,Future Internet Core Platform Adoption and Sustainability Enabler,http://fiadopt-project.eu/,1
4080,e-IRGSP4,e IRG Support Programme 4 e IRGSP4,http://e-irgsp4.e-irg.eu/,1
4081,FIspace,FIspace Future Internet Business Collaboration Networks in Agri Food Transport and Logistics,http://www.fispace.eu/,1
4084,ACCORDANCE,A converged copper optical radio OFDMA based access network with high capacity and flexibility,http://www.ict-accordance.eu/,1
4085,FRONTS,Foundations of adaptive networked societies of tiny artefacts,http://fronts.cti.gr/,1
4089,C-3PO,Colourless and Coolerless Components for low Power Optical Networks,http://www.ciphotonics.com/research/european-union-collaborative-projects/c3po/,1
4090,FITMAN,Future Internet Technologies for MANufacturing,http://www.fitman-fi.eu/,1
4091,Go-Lab,Global Online Science Labs for Inquiry Learning at School,http://www.go-lab-project.eu/,1
4093,S-Cube,Software Services and Systems Network S Cube,http://www.s-cube-network.eu/,1
4094,TELEIOS,Virtual Observatory Infrastructure for Earth Observation Data,http://www.earthobservatory.eu/,1
4096,EU-INCOOP,EU INdia Fostering COOPeration in Computing Systems,http://www.euincoop.eu/,1
4099,I-SEARCH,A unIfied framework for multimodal content SEARCH,http://www.isearch-project.eu/isearch/,1
4100,ISES,Intelligent Services for Energy Efficient Design and Life Cycle Simulation,http://ises.eu-project.info/,1
4101,V-MusT.net,Virtual Museum Transnational Network,http://www.v-must.net/,1
4102,CHRON,Cognitive Heterogeneous Reconfigurable Optical Network,http://www.ict-chron.eu/,1
4103,FIRST-MM,Flexible Skill Acquisition and Intuitive Robot Tasking for Mobile Manipulation in the Real World,http://www.first-mm.eu/,1
4104,IdeaGarden,An Interactive Learning Environment Fostering Creativity,http://idea-garden.org/,1
4105,EMERALD,Energy ManagEment and RechArging for efficient eLectric car Driving,http://www.fp7-emerald.eu/,1
4109,PAPYRUS,Cultural and Historical Digital Libraries dynamically mined from News Archives,http://www.ict-papyrus.eu/,1
4110,MED-Dialogue,PROMOTING ICT DIALOGUE AND COOPERATION WITH THE MPC TOWARDS HORIZON 2020,http://www.med-dialogue.eu/,1
4111,NEWCOM++,NEtwork of Excellence in Wireless COMmunications NEWCOM,http://newcom-project.eu/,1
4113,RLW Navigator,Remote Laser Welding System Navigator for Eco Resilient Automotive Factories,http://www.rlw-navigator.eu/,1
4114,SERSCIS,Semantically enhanced resilient and secure critical infrastructure services,http://www.serscis.eu/,1
4116,EXPERIMEDIA,EXPERiments in live social and networked MEDIA experiences,http://www.experimedia.eu/,1
4118,JUMAS,Judicial Management by Digital Libraries Semantics,http://www.milanoricerche.it/jumas/home.html,1
4119,VIS-SENSE,Visual Analytic Representation of Large Datasets for Enhancing Network Security,http://www.vis-sense.eu/,1
4120,USEMP,User Empowerment for Enhanced Online Presence Management,http://www.usemp-project.eu/,1
4121,NRG4CAST,Energy Forecasting,http://www.nrg4cast.org/,1
4124,VITAL++,Embedding P2P technology in Next Generation Networks A New Communication Paradigm Experimentation Infrastructure,http://www.ict-vitalpp.upatras.gr/,1
4125,Dicode,Mastering Data Intensive Collaboration and Decision Making,http://dicode-project.eu/,1
4127,FORTISSIMO,Factories of the Future Resources Technology Infrastructure and Services for Simulation and Modelling,http://fortissimo-project.eu/,1
4128,iCore,Internet Connected Objects for Reconfigurable Ecosystems,http://www.iot-icore.eu/,1
4129,CoherentPaaS,A Coherent and Rich PaaS with a Common Programming Model,http://coherentpaas.eu/,1
4130,CONFIDENCE,Ubiquitous Care System to Support Independent Living,http://confidence-eu.org/,1
4131,ACCESSIBLE,Accessibility Assessment Simulation Environment for New Applications Design and Development,http://www.accessible-eu.org/,1
4132,REVERIE,REal and Virtual Engagement in Realistic Immersive Environments,http://www.reveriefp7.eu/project/,1
4133,DREAMS,Distributed REal Time Architecture for Mixed Criticality Systems,http://www.uni-siegen.de/dreams/,1
4134,TREND,Towards Real Energy efficient Network Design,http://www.fp7-trend.eu/,1
4135,Sense and React,Sense React The context aware and user centric information distribution system for manufacturing,http://www.sense-react.eu/,1
4138,OASIS,Open Architecture for Accessible Services Integration and Standardisation,http://www.agefriendlyeurope.org/content/oasis-open-architecture-accessible-services-integration-and-standardisation,1
4140,FLEXIBILITY,Flexible Multifunctional Bendable Integrated Light Weight Ultra Thin Systems,http://www.smartex.it/index.php/en/research/projects/european-projects/flexibility,1
4141,PATHS,Personalised Access To cultural Heritage Spaces,http://www.paths-project.eu/eng/About,1
4143,Fed4FIRE,Federation for FIRE,http://www.fed4fire.eu/,1
4144,DAIAD,Open Water Management from droplets of participation to streams of knowledge,http://daiad.eu/?page_id=2611,1
4146,FORWARD,Managing Emerging Threats in ICT Infrastructures,http://www.ict-forward.eu/,1
4150,ENVISION,ENVIronmental Services Infrastructure with ONtologies,http://www.envision-project.eu/,1
4151,ARTISAN,Energy aware enterprise systems for low carbon intelligent operations,http://www.artisan-project.eu/,1
4152,SmartSantander,SmartSantander,http://www.smartsantander.eu/,1
4153,ICeWater,ICT Solutions for Efficient Water Resources Management,http://www.icewater-project.eu/,1
4157,ISS-EWATUS,Integrated Support System for Efficient Water Usage and Resources Management,http://issewatus.eu/,1
4159,REWIND,RElay based WIreless Network and standarD REWIND,http://www.at4wireless.com/corporate/rd-activities/rewind.html,1
4160,FINSENY,Future INternet for Smart ENergY,http://www.fi-ppp-finseny.eu/,1
4162,PEBBLE,POSITIVE ENERGY BUILDINGS THRU BETTER CONTROL DECISIONS,http://www.pebble-fp7.eu/,1
4166,sFly,Swarm of Micro Flying Robots,http://www.sfly.org/,1
4167,Pathfinder,European research and innovation agenda for future simulation and forecasting technologies,http://www.pathfinderproject.eu/,1
4169,OLAtronics,Development and integration of processes and technologies for the production of Organic Low cost and large Area flexible Electronics,http://www.olatronics.org/,1
4171,UniverSelf,UniverSelf,http://www.univerself-project.eu/,1
4174,ACROPOLIS,Advanced coexistence technologies for radio optimisation in licensed and unlicensed spectrum,http://137.73.11.248/,1
4175,SocIoS,Exploiting Social Networks for Building the Future Internet of Services,http://www.sociosproject.eu/SearchResults/tabid/84/language/en-GB/Default.aspx?Search=community,1
4176,3D-COFORM,Tools and Expertise for 3D Collection Formation,http://3d-coform.eu/,1
4177,THE,The Hand Embodied,http://www.thehandembodied.eu/,1
4181,WHERE2,Wireless Hybrid Enhanced Mobile Radio Estimators Phase 2,http://www.kn-s.dlr.de/where2/,1
4185,SimpleFleet,Democratizing Fleet Management,http://www.simplefleet.eu/,1
4186,Wikirate,The Wikirate Project Crowdsource Better Companies,http://wikirate.eu/about/the-vision-of-the-mission/,1
4187,SmartAgriFood,Smart Food and Agribusiness Future Internet for Safe and Healthy Food from Farm to Fork,http://smartagrifood.eu/,1
4190,EXALTED,EXpAnding LTE for Devices,http://www.ict-exalted.eu/,1
4191,TAILPHOX,TAILoring photon phonon interaction in silicon PHOXonic crystals,http://www.tailphox.org/,1
4192,WOMBAT,Worldwide Observatory of Malicious Behaviors and Attack Threats,http://www.wombat-project.eu/,1
4193,MIROR,Musical Interaction Relying On Reflexion,http://www.mirorproject.eu/,1
4194,ONEFIT,Opportunistic networks and Cognitive Management Systems for Efficient Application Provision in the Future InterneT,http://83.212.238.249/,1
4195,LPGPU,Low Power Parallel Computing on GPUs,https://www.hipeac.net/network/projects/4687/lpgpu/,1
4197,OpenIoT,Open Source blueprint for large scale self organizing cloud environments for IoT applications,http://www.openiot.eu/,1
4198,SOCIALNETS,Social Networking for Pervasive Adaptation,http://www.social-nets.eu/,1
4200,ALLOW Ensembles,ALLOW Ensembles,http://www.allow-ensembles.eu/,1
4201,PHASORS,PHase sensitive Amplifier Systems and Optical RegeneratorS and their applications,http://eu-phasors.eu/,1
4202,PICTURE,Policy dialogue in ICT to an Upper level for Reinforced EU EECA Cooperation,http://eeca-ict.eu/,1
4203,GLOCAL,GLOCAL Event based Retrieval of Networked Media,http://glocal-project.eu/,1
4206,eHealthMonitor,Intelligent Knowledge Platform for Personal Health Monitoring Services,http://ehealthmonitor.eu/,1
4209,SYNERGY,Supporting Highly Adaptive Network Enterprise Collaboration Through semantically enabled knowledge services,http://www.futureenterprise.eu/groups/supporting-highly-adaptive-network-enterprise-collaboration-through-semantically-enabled,1
4210,SysSec,A European Network of Excellence in Managing Threats and Vulnerabilities in the Future Internet Europe for the World,http://www.syssec-project.eu/,1
4214,TUCAN3G,Wireless technologies for isolated rural communities in developing countries based on cellular 3G femtocell deployments,http://www.ict-tucan3g.eu/,1
4215,Linked2Safety,A NEXT GENERATION SECURE LINKED DATA MEDICAL INFORMATION SPACE FOR SEMANTICALLY INTERCONNECTING ELECTRONIC HEALTH RECORDS AND CLINICAL TRIALS SYSTEMS ADVANCING PATIENTS SAFETY IN CLINICAL RESEARCH,http://www.linked2safety-project.eu/,1
4216,Euro-NF,Anticipating the Network of the Future From Theory to Design,http://www.mm.aueb.gr/index.php?option=com_jresearch&view=project&task=show&id=3,1
4217,IOLanes,Advancing the Scalability and Performance of I O Subsystems in Multi core Platforms,https://www.hipeac.net/network/projects/4685/iolanes/,1
4219,OPTET,OPerational Trustworthiness Enabling Technologies,http://www.optet.eu/,1
4220,SemsorGrid4Env,Semantic Sensor Grids for Rapid Application Development for Environmental Management,http://semsorgrid4env.eu/,1
4222,SYNC3,Synergetic Content Creation and Communication,http://www.sync3.eu/,1
4223,WeGov,We Gov Where eGovernment meets the eSociety,http://www.wegov-project.eu/,1
4225,HEADS,Heterogeneous and Distributed Services for the Future Computing Continuum,http://heads-project.eu/,1
4226,ACCURAT,Analysis and Evaluation of Comparable Corpora for Under Resourced Areas of Machine Translation,http://www.accurat-project.eu/,1
4227,COMET,COntent Mediator architecture for content aware nETworks,http://www.comet-project.org/,1
4229,ARTIST,Advanced software based seRvice provisioning and migraTIon of legacy Software,http://www.artist-project.eu/,1
4231,LinkedTV,Television Linked To The Web,http://www.linkedtv.eu/,1
4232,StrokeBack,Telemedicine System Empowering Stroke Patients to Fight Back,http://www.strokeback.eu/,1
4235,EURECA,Enabling information re Use by linking clinical REsearch and CAre,http://eurecaproject.eu/,1
4236,CHIC,Computational Horizons In Cancer CHIC Developing Meta and Hyper Multiscale Models and Repositories for In Silico Oncology,http://www.chic-vph.eu/,1
4238,Waternomics,ICT for Water Resource Management,https://www.insight-centre.org/content/waternomics-ict-water-resource-management,1
4239,Cloud4SOA,A CLOUD INTEROPERABILITY FRAMEWORK AND PLATFORM FOR USER CENTRIC SEMANTICALLY ENHANCED SERVICE ORIENTED APPLICATIONS DESIGN DEPLOYMENT AND DISTRIBUTED EXECUTION,http://www.ocdirectory.org/organization/about/cloud4soa,1
4240,ERA,Embedded Reconfigurable Architectures,http://www.era-project.eu/,1
4241,PublicaMundi,Scalable and Reusable Open Geospatial Data,http://www.publicamundi.eu/,1
4242,POETICON++,Robots need Language A computational mechanism for generalisation and generation of new behaviours in robots,http://www.poeticon.eu/,1
4243,HiPEAC,High Performance and Embedded Architecture and Compilation,https://www.hipeac.net/,1
4244,NEARCTIS,A Network of Excellence for Advanced Road cooperative traffic management in the Information Society,http://www.nearctis.org/,1
4245,Dem@Care,Dementia Ambient Care Multi Sensing Monitoring for Intelligent Remote Management and Decision Support,http://www.demcare.eu/,1
4246,ForgetIT,Concise Preservation by combining Managed Forgetting and Contextualized Remembering,http://www.forgetit-project.eu/,1
4247,ASCETiC,Adapting Service lifeCycle towards EfficienT Clouds,http://ascetic-project.eu/,1
4249,Metafora,Learning to learn together A visual language for social orchestration of educational activities,http://www.metafora-project.org/,1
4251,MSEE,Manufacturing SErvice Ecosystem,http://www.msee-ip.eu/,1
4252,REACTION,Remote Accessibility to Diabetes Management and Therapy in Operational healthcare Networks,http://www.reaction-project.eu/,1
4253,IA4SI,Impact Assessment For Social Innovation,http://ia4si.eu/,1
4254,AEGIS,Open Accessibility Everywhere Groundwork Infrastructure Standards,http://www.aegis-project.eu/,1
4255,c-Space,An affordable tool to turn the space surrounding us into a creative experience,http://www.c-spaceproject.eu/,1
4256,CROSSROAD,CROSSROAD A Participative Roadmap for ICT Research in Electronic Governance and Policy Modelling,http://www.2020-horizon.com/CROSSROAD-CROSSROAD-A-Participative-Roadmap-for-ICT-Research-in-Electronic-Governance-and-Policy-Modelling(CROSSROAD)-s9412.html,1
4257,ILearnRW,Integrated Intelligent Learning Environment for Reading and Writing,http://ilearnrw.eu/,1
4260,CoLiSA.MMP,Computational Lithography for Directed Self Assembly Materials Models and Processes,http://www.colisa.eu/,1
4261,BonFIRE,Building service testbeds on FIRE,http://www.bonfire-project.eu/,1
4265,WINS-ICT,Western Balkan countries Inco Net Support in the field of ICT,http://cei.int/wins,1
4266,SAFROS,Patient Safety in Robotic Surgery,http://www.safros.eu/,1
4267,CNG,The Community Network Game,http://www.cng-project.eu/,1
