acronym,title,projectUrl,status
COPIRIDE,Combining Process Intensification driven Manufacture of Microstructured Reactors and Process Design regarding to Industrial Dimensions and Environment,http://www.copiride.eu/,OK,
GAMEXP,Genomic approaches to metabolite exploitation from Xenorhabdus Photorhabdus,http://www.gamexp.eu/,OK,
SAFE-COMMS,Counter Terrorism Crisis Communications Strategies for Recovery and Continuity,https://faculty.biu.ac.il/~sshpiro/,OK,
HEALTHATWORK,An inquiry into the health and safety at work a European Union perspective,http://www.abdn.ac.uk/haw/,OK,
LIVEDIVERSE,Sustainable Livelihoods and Biodiversity in Riparian Areas in Developing Countries,http://www.Livediverse.eu/,OK,
HAMLET,Human ModeL MATROSHKA for Radiation Exposure Determination of Astronauts,http://www.fp7-hamlet.eu/,OK,
LOTUS,Localisation of Threat Substances in Urban Society,http://www.foi.se/en/Customer--Partners/Projects/LOTUS1/LOTUS/,OK,
WHYWEAGE,A road map for European ageing research,http://www.whyweage.eu/,OK,
NEMO,Novel high performance enzymes and micro organisms for conversion of lignocellulosic biomass to bioethanol,http://nemo.vtt.fi/,OK,
INDECT,Intelligent Information System Supporting Observation Searching and Detection for Security of Citizens in Urban Environment,http://www.indect-project.eu/,OK,
ECONWELFARE,Good animal welfare in a socio economic context Project to promote insight on the impact for the animal the production chain and society of upgrading animal welfare standards,http://www.econwelfare.eu/,OK,
SELFDOTT,From capture based to SELF sustained aquaculture and Domestication Of bluefin tuna Thunnus thynnus,https://sites.google.com/site/selfdottpublic/,OK,
ESPRIT,Resource Efficient Self Reinforced Plastic Materials and Processing,http://www.espritproject.eu/,OK,
NHECD,Nano health environment commented database,http://www.nhecd-fp7.eu/index.php?id=515,OK,
GILDED,Governance Infrastructure Lifestyle Dynamics and Energy Demand European Post Carbon Communities,http://gildedeu.hutton.ac.uk/,OK,
SALMOTRIP,Feasibility study of triploid salmon production,http://www.salmotrip.stir.ac.uk/,OK,
NMP TEAM,Improving the services of the NMP NCP Network through Trans national Activities,http://www.nmpteam.com/,OK,
PROMINE,Nano particle products from new mineral resources in Europe,http://promine.gtk.fi/,OK,
COGS,Collaborative Oncological Gene environment Study,http://www.cogseu.org/,OK,
PROSPER,Prostate cancer profiling and evaluation of ncRNA,http://www.uta.fi/bmt/,OK,
ENCITE,European Network for Cell Imaging and Tracking Expertise,http://www.encite.org/cms/website.php,OK,
EVA,Markers for emphysema versus airway disease in COPD,http://www.eva-copd.eu/,OK,
MASTER,Microwave Amplification by Spin Transfer Emission Radiation,http://iramis.cea.fr/spec/Phocea/Page/index.php?id=23,OK,
CLEAR-UP,Clean buildings along with resource efficiency enhancement using appropriate materials and technology,http://www.clear-up.eu/,OK,
BIOELECTRICSURFACE,Electrically modified biomaterials surface,http://www.bioelectricsurface.eu/,OK,
COST-EFFECTIVE,Resource and Cost effective integration of renewables in existing high rise buildings,http://www.cost-effective-renewables.eu/,OK,
PARTICOAT,New multipurpose coating systems based on novel particle technology for extreme environments at high temperatures,http://www.particoat.eu/,OK,
AHEAD III,ASSESSMENT OF HEARING IN THE ELDERLY AGING AND DEGENERATION INTEGRATION THROUGH IMMEDIATE INTERVENTION,http://www.ahead.polimi.it/,OK,
METACANCER,Identification and validation of new breast cancer biomarkers based on integrated metabolomics,http://www.metacancer-fp7.eu/index.php?id=349,OK,
GMSAFOOD,Biomarkers for post market monitoring of short and long term effects of genetically modified organisms GMOs on animal and human health,http://www.gmsafoodproject.eu/,OK,
INSTAPA,Novel staple food based strategies to improve micronutrient status for better health and development in sub Saharan Africa,http://www.instapa.org/instapa,OK,
ROBUSTMILK,Innovative and Practical Breeding Tools for Improved Dairy Products from More Robust Dairy Cattle,http://www.robustmilk.eu/,OK,
REDNEX,Innovative and practical management approaches to reduce nitrogen excretion by ruminants,http://www.rednex-fp7.eu/,OK,
EUPHOROS,EFFICIENT USE OF INPUT IN PROTECTED HORTICULTURE,http://www.wageningenur.nl/en/Research-Results/Projects-and-programmes/Euphoros-1.htm,OK,
LIPIDIDIET,THERAPEUTIC AND PREVENTIVE IMPACT OF NUTRITIONAL LIPIDS ON NEURONAL AND COGNITIVE PERFORMANCE IN AGING ALZHEIMER S DISEASE AND VASCULAR DEMENTIA,http://www.lipididiet.progressima.eu/,OK,
FLABEL,Food Labelling to Advance Better Education for Life,http://www.flabel.org/en/,OK,
CARDIORISK,The mechanisms of cardiovascular risks after low radiation doses,http://www.cardiorisk.eu/,OK,
SEDENTEXCT,Safety and Efficacy of a New and Emerging Dental X ray Modality,http://www.sedentexct.eu/,OK,
VISION,Immersive interface technologies for life cycle human oriented activities in interactive aircraft related virtual products,http://www.project-vision.eu/about-the-project,OK,
EUROBROADMAP,EUROPEAN UNION THE WORLD SEEN FROM ABROAD,http://www.eurobroadmap.eu/,OK,
LIGHT-ROLLS,High throughput production platform for the manufacture of light emitting components,http://www.light-rolls.eu/,OK,
DIRECT,DIsseminate Research funded by EC improving Treatment options for children suffering from cancer,http://www.overcomingcancerwithresearch.eu/index.html,OK,
ENAROMATIC,European Network for Advanced Research on Olfaction for Malaria Transmitting Insect Control,http://enaromatic.bio.demokritos.gr/,OK,
APTAR,GLOBAL SOLUTION FOR SLAUGHTERHOUSES TANNERIES AND PHYTOSANITARY SECTORS TREATMENT OF CATEGORY 3 ANIMAL WASTES AND PRODUCTION HIGH VALUE PRODUCT WITH BIO PESTICIDE PROPERTIES,http://www.zurkoresearch.com/aptar/,OK,
TALOS,Transportable Autonomous patrol for Land bOrder Surveillance,http://www.talos-border.eu/,OK,
MICROFLEX,Micro fabrication production technology for MEMS on new emerging smart textiles flexibles,http://microflex.ecs.soton.ac.uk/,OK,
DISMEVAL,Developing and validating disease management evaluation methods for European health care systems,http://www.dismeval.eu/,OK,
RESILIENCE2050.EU,New design principles fostering safety agility and resilience for ATM,http://resilience2050.innaxis.org/,OK,
ALIGHT,AlGaInN materials on semi polar templates for yellow emission in solid state lighting applications,http://www.alight-project.eu/,OK,
SUSFOFLEX,SMART and SUSTAINABLE FOOD PACKAGING UTILIZING FLEXIBLE PRINTED INTELLIGENCE and MATERIALS TECHNOLOGIES,http://www.susfoflex.com/,OK,
HIT-GATE,Heterogeneous Interoperable Transportable GATEway for First Responders,http://www.hit-gate.eu/,OK,
EUROFIT,Social innovation to improve physical activity and sedentary behaviour through elite European football clubs European Fans in Training,http://eurofitfp7.eu/,OK,
BREAST CT,Dedicated CT of the Female Breast Feasibility optimization and comparison to standard x ray procedures digital mammography and tomosynthesis,http://www.imp.uni-erlangen.de/BreastCT/,OK,
ECOADAPT,Ecosystem based strategies and innovations in water governance networks for adaptation to climate change in Latin American Landscapes,https://sites.google.com/site/ecoadaptproject/,OK,
SYSTEMS MICROSCOPY,Systems microscopy a key enabling methodology for next generation systems biology,http://www.systemsmicroscopy.eu/,OK,
NANOINSULATE,Development of Nanotechnology based High performance Opaque Transparent Insulation Systems for Energy efficient Buildings,http://filestore.nanoinsulate.eu/,OK,
